,dr,dr_name,dr_date,dr_place,dr_knownfor,dr_awards_wins,dr_awards_nomi tions,dr_link,dr_awards_link
92,Nick Moore ,Nick Moore,NA,NA,"['Love Actually', 'About a Boy', 'Notting Hill', 'Burnt']",0,2,https://www.imdb.com/name/nm0601680/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0601680/awards?ref_=nm_ql_2
93,Dennis Gansel ,Dennis Gansel,10/4/1973,"Hannover, Lower Saxony, Germany","['The Wave', 'Before the Fall', 'Wir sind die Nacht', 'Mechanic: Resurrection']",12,8,https://www.imdb.com/name/nm0304541/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0304541/awards?ref_=nm_ql_2
94,Gil Kenan,Gil Kenan,10/16/1976,"London, England, UK","['Monster House', 'Poltergeist', 'City of Ember', 'Junkers']",0,4,https://www.imdb.com/name/nm1481493/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1481493/awards?ref_=nm_ql_2
95,Gurinder Chadha ,Gurinder Chadha,1/10/1960,"Nairobi, Kenya","['Bend It Like Beckham', 'Angus, Thongs and Perfect Snogging', ""What's Cooking?"", 'Bhaji on the Beach']",16,9,https://www.imdb.com/name/nm0149446/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0149446/awards?ref_=nm_ql_2
96,Rob Minkoff ,Rob Minkoff,8/11/1962,"Palo Alto, California, USA","['The Lion King', 'Stuart Little 2', 'The Forbidden Kingdom', 'Oliver & Company']",1,5,https://www.imdb.com/name/nm0591450/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0591450/awards?ref_=nm_ql_2
97,John Moore,John Moore,1970-0-0,NA,"['Max Payne', 'Flight of the Phoenix', 'Behind Enemy Lines', 'The Omen']", , ,https://www.imdb.com/name/nm0601382/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0601382/awards?ref_=nm_ql_2
98,Brad Anderson,Brad Anderson,1964-0-0,NA,"['Session 9', 'The Machinist', 'Transsiberian', 'The Call']",6,11,https://www.imdb.com/name/nm0026442/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0026442/awards?ref_=nm_ql_2
99,Quentin Tarantino ,Quentin Tarantino,3/27/1963,"Knoxville, Tennessee, USA","['Reservoir Dogs', 'Pulp Fiction', 'The Hateful Eight', 'From Dusk Till Dawn']",139,177,https://www.imdb.com/name/nm0000233/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000233/awards?ref_=nm_ql_2
100,Zack Snyder ,Zack Snyder,3/1/1966,"Green Bay, Wisconsin, USA","['300', 'Wonder Woman', 'Watchmen', 'Man of Steel']",4,13,https://www.imdb.com/name/nm0811583/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0811583/awards?ref_=nm_ql_2
101,James Cameron,James Cameron,8/16/1954,"Kapuskasing, Ontario, Canada","['Avatar', 'Titanic', 'Terminator 2: Judgment Day', 'Aliens']",70,64,https://www.imdb.com/name/nm0000116/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000116/awards?ref_=nm_ql_2
102,Todd Phillips,Todd Phillips,12/20/1970,"Brooklyn, New York City, New York, USA","['Due Date', 'Old School', 'The Hangover', 'The Hangover Part III']",4,8,https://www.imdb.com/name/nm0680846/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0680846/awards?ref_=nm_ql_2
103,Marcus Nispel ,Marcus Nispel,5/26/1963,"Frankfurt am Main, Hesse, Germany","['The Texas Chainsaw Massacre', 'Pathfinder', 'Friday the 13th', 'Conan the Barbarian']",0,4,https://www.imdb.com/name/nm1197971/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1197971/awards?ref_=nm_ql_2
104,Gavin Hood ,Gavin Hood,5/12/1963,"Johannesburg, South Africa","['Tsotsi', 'A Reasonable Man', 'Eye in the Sky', 'Rendition']",26,7,https://www.imdb.com/name/nm0004303/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0004303/awards?ref_=nm_ql_2
105,Jody Hill,Jody Hill,NA,NA,"['Observe and Report', 'Vice Principals', 'Eastbound & Down', 'The Foot Fist Way']",1,3,https://www.imdb.com/name/nm2095817/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2095817/awards?ref_=nm_ql_2
106,Ruben Fleischer ,Ruben Fleischer,10/31/1974,"Washington, District of Columbia, USA","['Zombieland', 'Gangster Squad', 'Venom', '30 Minutes or Less']",1,1,https://www.imdb.com/name/nm0281508/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0281508/awards?ref_=nm_ql_2
107,J.J. Abrams ,J.J. Abrams,6/27/1966,"New York City, New York, USA","['Lost', 'Star Trek', 'Star Wars: Episode VII - The Force Awakens', 'Super 8']",22,53,https://www.imdb.com/name/nm0009190/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0009190/awards?ref_=nm_ql_2
108,David Yates ,David Yates,10/8/1963,"St. Helens, Merseyside, England, UK","['Harry Potter and the Deathly Hallows: Part 2', 'The Legend of Tarzan', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Deathly Hallows: Part 1']",15,20,https://www.imdb.com/name/nm0946734/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0946734/awards?ref_=nm_ql_2
109,F. Gary Gray ,F. Gary Gray,7/17/1969,"New York City, New York, USA","['Set It Off', 'The Italian Job', 'The Negotiator', 'Friday']",6,11,https://www.imdb.com/name/nm0336620/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0336620/awards?ref_=nm_ql_2
110,John Lee Hancock ,John Lee Hancock,12/15/1956,"Longview, Texas, USA","['The Blind Side', 'Saving Mr. Banks', 'The Rookie', 'Snow White and the Huntsman']",4,5,https://www.imdb.com/name/nm0359387/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0359387/awards?ref_=nm_ql_2
111,Peter Jackson,Peter Jackson,10/31/1961,"Pukerua Bay, North Island, New Zealand","['The Lord of the Rings: The Fellowship of the Ring', 'Bad Taste', 'King Kong', 'The Lord of the Rings: The Return of the King']",137,135,https://www.imdb.com/name/nm0001392/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001392/awards?ref_=nm_ql_2
112,Burr Steers ,Burr Steers,10/8/1965,USA,"['Igby Goes Down', 'Pulp Fiction', 'Pride and Prejudice and Zombies', 'How to Lose a Guy in 10 Days']",2,6,https://www.imdb.com/name/nm0824882/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0824882/awards?ref_=nm_ql_2
113,Pete Docter ,Pete Docter,10/9/1968,"Bloomington, Minnesota, USA","['Up', 'Inside Out', 'Monsters, Inc.', 'WALL??E']",47,64,https://www.imdb.com/name/nm0230032/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0230032/awards?ref_=nm_ql_2
114,Michael Mann,Michael Mann,2/5/1943,"Chicago, Illinois, USA","['The Insider', 'The Last of the Mohicans', 'Collateral', 'Manhunter']",18,36,https://www.imdb.com/name/nm0000520/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000520/awards?ref_=nm_ql_2
115,Jaume Collet-Serra ,Jaume Collet-Serra,3/23/1974,"Barcelona, Barcelona, Catalonia, Spain","['The Shallows', 'Unknown', 'Orphan', 'Run All Night']",0,5,https://www.imdb.com/name/nm1429471/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1429471/awards?ref_=nm_ql_2
116,Neill Blomkamp ,Neill Blomkamp,9/17/1979,"Johannesburg, South Africa","['District 9', 'Elysium', 'Chappie', 'Rakka']",12,36,https://www.imdb.com/name/nm0088955/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0088955/awards?ref_=nm_ql_2
117,Vincenzo Natali ,Vincenzo Natali,1/6/1969,"Detroit, Michigan, USA","['Cube', 'Cypher', 'Splice', ""Paris, je t'aime""]",14,15,https://www.imdb.com/name/nm0622112/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0622112/awards?ref_=nm_ql_2
118,Duncan Jones ,Duncan Jones,5/30/1971,"Bromley, Kent, England, UK","['Moon', 'Source Code', 'Warcraft', 'Mute']",14,13,https://www.imdb.com/name/nm1512910/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1512910/awards?ref_=nm_ql_2
119,Gaspar No?? ,Gaspar No??,12/27/1963,"Buenos Aires, Argentina","['Irreversible', 'Enter the Void', 'Climax', 'I Stand Alone']",14,21,https://www.imdb.com/name/nm0637615/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0637615/awards?ref_=nm_ql_2
120,Harmony Korine ,Harmony Korine,1/4/1973,"Bolinas, California, USA","['Gummo', 'Spring Breakers', 'Kids', 'Trash Humpers']",9,9,https://www.imdb.com/name/nm0005101/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0005101/awards?ref_=nm_ql_2
121,Ken Kwapis ,Ken Kwapis,8/17/1957,"Belleville, Illinois, USA","['One Mississippi', 'A Walk in the Woods', 'Happyish', 'Big Miracle']",2,10,https://www.imdb.com/name/nm0477129/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0477129/awards?ref_=nm_ql_2
122,Peter Billingsley,Peter Billingsley,4/16/1971,"New York City, New York, USA","['A Christmas Story', 'Iron Man', 'Four Christmases', 'The Sacred Fire']",1,6,https://www.imdb.com/name/nm0082526/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0082526/awards?ref_=nm_ql_2
123,McG ,McG,8/9/1968,"Kalamazoo, Michigan, USA","[""Charlie's Angels: Full Throttle"", 'Terminator Salvation', 'We Are Marshall', ""Charlie's Angels""]",2,1,https://www.imdb.com/name/nm0629334/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0629334/awards?ref_=nm_ql_2
124,Marc Webb ,Marc Webb,8/31/1974,NA,"['(500) Days of Summer', 'Gifted', 'Crazy Ex-Girlfriend', 'The Amazing Spider-Man']",7,7,https://www.imdb.com/name/nm1989536/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1989536/awards?ref_=nm_ql_2
125,Lars von Trier ,Lars von Trier,4/30/1956,"Copenhagen, Denmark","['Dancer in the Dark', 'Melancholia', 'Dogville', 'Breaking the Waves']",100,100,https://www.imdb.com/name/nm0001885/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001885/awards?ref_=nm_ql_2
126,Jason Reitman ,Jason Reitman,10/19/1977,"Montreal, Quebec, Canada","['Up in the Air', 'Thank You for Smoking', 'Juno', 'Labor Day']",63,69,https://www.imdb.com/name/nm0718646/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0718646/awards?ref_=nm_ql_2
127,Terry Gilliam ,Terry Gilliam,11/22/1940,"Minneapolis, Minnesota, USA","['Brazil', 'Monty Python and the Holy Grail', 'The Imaginarium of Doctor Parnassus', 'Time Bandits']",23,30,https://www.imdb.com/name/nm0000416/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000416/awards?ref_=nm_ql_2
128,Tom Six ,Tom Six,8/29/1973,"Alkmaar, Noord-Holland, Netherlands","['The Human Centipede (First Sequence)', 'The Human Centipede III (Final Sequence)', 'The Human Centipede II (Full Sequence)', 'The Onania Club']",2,2,https://www.imdb.com/name/nm1519353/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1519353/awards?ref_=nm_ql_2
129,Henry Selick ,Henry Selick,11/30/1952,"Glen Ridge, New Jersey, USA","['Coraline', 'The Nightmare Before Christmas', 'James and the Giant Peach', 'Slow Bob in the Lower Dimensions']",8,15,https://www.imdb.com/name/nm0783139/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0783139/awards?ref_=nm_ql_2
130,Jaco Van Dormael ,Jaco Van Dormael,2/9/1957,"Ixelles, Brabant, Belgium","['Mr. Nobody', 'Le tout nouveau testament', 'Toto le h??ros', 'The Eighth Day']",28,13,https://www.imdb.com/name/nm0233757/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0233757/awards?ref_=nm_ql_2
131,Juan Jos?? Campanella ,Juan Jos?? Campanella,7/19/1959,"Buenos Aires, Argentina","['The Secret in Their Eyes', 'El hombre de tu vida', 'El mismo amor, la misma lluvia', ""Avellaneda's Moon""]",56,42,https://www.imdb.com/name/nm0002728/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0002728/awards?ref_=nm_ql_2
132,Stephen Sommers ,Stephen Sommers,3/20/1962,"Indianapolis, Indiana, USA","['G.I. Joe: The Rise of Cobra', 'The Mummy', 'Odd Thomas', 'Van Helsing']",1,3,https://www.imdb.com/name/nm0814085/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0814085/awards?ref_=nm_ql_2
133,Rajkumar Hirani ,Rajkumar Hirani,11/20/1962,"Nagpur, Maharashtra, India","['Munna Bhai M.B.B.S.', 'PK', '3 Idiots', 'Lage Raho Munna Bhai']",38,23,https://www.imdb.com/name/nm0386246/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0386246/awards?ref_=nm_ql_2
134,Karyn Kusama ,Karyn Kusama,3/21/1968,"Brooklyn, New York, USA","['The Invitation', 'Girlfight', '??on Flux', 'Destroyer']",12,18,https://www.imdb.com/name/nm0476201/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0476201/awards?ref_=nm_ql_2
135,Justin Lin,Justin Lin,10/11/1973,"Taipei, Taiwan","['Furious 6', 'Better Luck Tomorrow', 'Star Trek Beyond', 'Fast Five']",3,6,https://www.imdb.com/name/nm0510912/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0510912/awards?ref_=nm_ql_2
136,Yorgos Lanthimos ,Yorgos Lanthimos,1973-0-0,NA,"['The Lobster', 'The Killing of a Sacred Deer', 'Dogtooth', 'The Favourite']",45,99,https://www.imdb.com/name/nm0487166/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0487166/awards?ref_=nm_ql_2
137,Ron Howard,Ron Howard,3/1/1954,"Duncan, Oklahoma, USA","['Arrested Development', 'A Beautiful Mind', 'Apollo 13', 'Frost/Nixon']",39,74,https://www.imdb.com/name/nm0000165/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000165/awards?ref_=nm_ql_2
138,Ron Clements ,Ron Clements,4/25/1953,"Sioux City, Iowa, USA","['Hercules', 'Aladdin', 'Moana', 'The Princess and the Frog']",10,17,https://www.imdb.com/name/nm0166256/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0166256/awards?ref_=nm_ql_2
139,Lee Daniels,Lee Daniels,12/24/1959,"Philadelphia, Pennsylvania, USA","['Precious', 'The Butler', 'The Paperboy', 'The Woodsman']",30,28,https://www.imdb.com/name/nm0200005/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0200005/awards?ref_=nm_ql_2
140,Chris Weitz ,Chris Weitz,11/30/1969,"New York City, New York, USA","['About a Boy', 'The Golden Compass', 'Rogue One', 'Mr. & Mrs. Smith']",2,16,https://www.imdb.com/name/nm0919363/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0919363/awards?ref_=nm_ql_2
141,John Hillcoat ,John Hillcoat,1961-0-0,NA,"['The Road', 'The Proposition', 'Lawless', 'Ghosts... of the Civil Dead']",4,10,https://www.imdb.com/name/nm0384825/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0384825/awards?ref_=nm_ql_2
142,Hoyt Yeatman ,Hoyt Yeatman,1/23/1955,"San Francisco, California, USA","['The Abyss', 'G-Force', 'The Fly', 'Mighty Joe Young']",2,4,https://www.imdb.com/name/nm0947087/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0947087/awards?ref_=nm_ql_2
143,Jim Sheridan,Jim Sheridan,2/6/1949,"Dublin, Ireland","['In America', 'In the Name of the Father', 'My Left Foot', 'The Boxer']",31,50,https://www.imdb.com/name/nm0006487/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0006487/awards?ref_=nm_ql_2
144,Niels Arden Oplev ,Niels Arden Oplev,3/26/1961,Denmark,"['The Girl with the Dragon Tattoo', 'Dr??mmen', 'Flatliners', 'Dead Man Down']",17,17,https://www.imdb.com/name/nm0649117/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0649117/awards?ref_=nm_ql_2
145,Phil Lord ,Phil Lord,7/12/1975,"Miami, Florida, USA","['Spider-Man: Into the Spider-Verse', 'The Lego Movie', 'Clone High', '22 Jump Street']",22,20,https://www.imdb.com/name/nm0520488/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0520488/awards?ref_=nm_ql_2
146,Michael Bay,Michael Bay,2/17/1965,"Los Angeles, California, USA","['Armageddon', 'Transformers: Revenge of the Fallen', 'Transformers: Age of Extinction', 'The Rock']",8,14,https://www.imdb.com/name/nm0000881/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000881/awards?ref_=nm_ql_2
147,Steve Shill ,Steve Shill,NA,NA,"['Dexter', 'Obsessed', 'Deadwood', 'Missing']",1,3,https://www.imdb.com/name/nm0793455/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0793455/awards?ref_=nm_ql_2
148,Wes Anderson,Wes Anderson,5/1/1969,"Houston, Texas, USA","['Fantastic Mr. Fox', 'The Royal Tenenbaums', 'Isle of Dogs', 'Moonrise Kingdom']",72,166,https://www.imdb.com/name/nm0027572/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0027572/awards?ref_=nm_ql_2
149,Lasse Hallstr??m ,Lasse Hallstr??m,6/2/1946,"Stockholm, Stockholms l??n, Sweden","[""What's Eating Gilbert Grape"", 'Chocolat', 'The Cider House Rules', 'The Hundred-Foot Journey']",15,17,https://www.imdb.com/name/nm0002120/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0002120/awards?ref_=nm_ql_2
150,John Hamburg ,John Hamburg,5/26/1970,"New York City, New York, USA","['Little Fockers', 'Why Him?', 'I Love You, Man', 'Along Came Polly']",0,1,https://www.imdb.com/name/nm0357453/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0357453/awards?ref_=nm_ql_2
151,Betty Thomas,Betty Thomas,7/27/1947,"St. Louis, Missouri, USA","['Howard Stern', '28 Days', 'John Tucker Must Die', 'Troop Beverly Hills']",8,13,https://www.imdb.com/name/nm0858525/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0858525/awards?ref_=nm_ql_2
152,Christopher Smith ,Christopher Smith,1970-0-0,NA,"['Triangle', 'Severance', 'Black Death', 'Creep']",5,6,https://www.imdb.com/name/nm1247462/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1247462/awards?ref_=nm_ql_2
153,Alex Proyas ,Alex Proyas,9/23/1963,Egypt,"['Dark City', 'Gods of Egypt', 'The Crow', 'Knowing']",6,7,https://www.imdb.com/name/nm0001639/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001639/awards?ref_=nm_ql_2
154,Dennis Iliadis ,Dennis Iliadis,NA,NA,"['The Last House on the Left', 'Hardcore', '+1', 'Ole']",2,2,https://www.imdb.com/name/nm1531934/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1531934/awards?ref_=nm_ql_2
155,Christian Alvart ,Christian Alvart,5/28/1974,"Jugenheim, Hessen, Germany","['Pandorum', 'Antik??rper', 'Case 39', 'Captain Future']",6,3,https://www.imdb.com/name/nm0023355/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0023355/awards?ref_=nm_ql_2
156,Patrick Tatopoulos ,Patrick Tatopoulos,NA,NA,"['Godzilla', 'Dark City', 'Stargate', 'Underworld: Rise of the Lycans']",2,1,https://www.imdb.com/name/nm0851281/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0851281/awards?ref_=nm_ql_2
157,Mark Neveldine ,Mark Neveldine,5/11/1973,"Watertown, New York, USA","['Gamer', 'Crank', 'Crank: High Voltage', 'Pathology']", , ,https://www.imdb.com/name/nm0004410/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0004410/awards?ref_=nm_ql_2
158,Oliver Parker,Oliver Parker,9/6/1960,"London, England, UK","['An Ideal Husband', 'Dorian Gray', 'Hellraiser', 'Nightbreed']",0,2,https://www.imdb.com/name/nm0662529/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0662529/awards?ref_=nm_ql_2
159,Robert Schwentke ,Robert Schwentke,1968-0-0,NA,"['RED', 'Der Hauptmann', 'R.I.P.D.', 'Tattoo']",15,7,https://www.imdb.com/name/nm0777881/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0777881/awards?ref_=nm_ql_2
160,James Wong,James Wong,NA,NA,"['The X-Files', 'The One', 'American Horror Story', 'Final Destination 3']",2,13,https://www.imdb.com/name/nm0939128/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0939128/awards?ref_=nm_ql_2
161,David Twohy ,David Twohy,10/18/1955,"Los Angeles County, California, USA","['The Arrival', 'The Fugitive', 'Below', 'Pitch Black']",1,8,https://www.imdb.com/name/nm0878638/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0878638/awards?ref_=nm_ql_2
162,Atom Egoyan ,Atom Egoyan,7/19/1960,"Cairo, Egypt","['The Sweet Hereafter', 'Ararat', 'The Captive', 'Calendar']",59,75,https://www.imdb.com/name/nm0000382/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000382/awards?ref_=nm_ql_2
163,Shawn Levy,Shawn Levy,7/23/1968,"Montreal, Quebec, Canada","['Arrival', 'The Spectacular Now', 'Stranger Things', 'The Famous Jett Jackson']",4,11,https://www.imdb.com/name/nm0506613/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0506613/awards?ref_=nm_ql_2
164,Richard Curtis,Richard Curtis,11/8/1956,"Wellington, New Zealand","['Love Actually', 'Four Weddings and a Funeral', 'About Time', 'Pirate Radio']",19,35,https://www.imdb.com/name/nm0193485/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0193485/awards?ref_=nm_ql_2
165,Kevin Macdonald,Kevin Macdonald,10/28/1967,"Glasgow, Scotland, UK","['The Last King of Scotland', 'How I Live Now', 'State of Play', 'Touching the Void']",8,17,https://www.imdb.com/name/nm0531817/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0531817/awards?ref_=nm_ql_2
166,Tom Ford,Tom Ford,8/27/1961,"Austin, Texas, USA","['A Single Man', 'Nocturnal Animals', 'Quantum of Solace', 'Zoolander']",11,50,https://www.imdb.com/name/nm1053530/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1053530/awards?ref_=nm_ql_2
167,Sam Raimi,Sam Raimi,10/23/1959,"Royal Oak, Michigan, USA","['Spider-Man', 'The Evil Dead', 'Army of Darkness', 'Darkman']",14,20,https://www.imdb.com/name/nm0000600/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000600/awards?ref_=nm_ql_2
168,Charles Guard ,Charles Guard,NA,NA,"['The Uninvited', 'Judge Dredd', 'Inside-Out', 'Round About Five']",1,1,https://www.imdb.com/name/nm0345294/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0345294/awards?ref_=nm_ql_2
169,David S. Goyer ,David S. Goyer,12/22/1965,"Ann Arbor, Michigan, USA","['Batman Begins', 'The Dark Knight', 'Dark City', 'Batman v Superman: Dawn of Justice']",7,12,https://www.imdb.com/name/nm0333060/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0333060/awards?ref_=nm_ql_2
170,Ricky Gervais ,Ricky Gervais,6/25/1961,"Reading, Berkshire, England, UK","['The Office', 'The Invention of Lying', 'Extras', 'Ghost Town']",25,57,https://www.imdb.com/name/nm0315041/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0315041/awards?ref_=nm_ql_2
171,Shane Acker ,Shane Acker,NA,NA,"['9', '9', 'Total Recall', '47 Ronin']",5,1,https://www.imdb.com/name/nm0009942/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0009942/awards?ref_=nm_ql_2
172,Rob Letterman ,Rob Letterman,NA,NA,"['Monsters vs. Aliens', 'Shark Tale', 'Pok??mon Detective Pikachu', ""Gulliver's Travels""]",0,3,https://www.imdb.com/name/nm1224299/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1224299/awards?ref_=nm_ql_2
173,Paul McGuigan,Paul McGuigan,9/19/1963,"Bellshill, Scotland, UK","['Lucky Number Slevin', 'Wicker Park', 'Victor Frankenstein', 'The Acid House']",7,12,https://www.imdb.com/name/nm0006476/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0006476/awards?ref_=nm_ql_2
174,Troy Duffy ,Troy Duffy,6/8/1971,"Hartford, Connecticut, USA","['The Boondock Saints', 'The Boondock Saints II: All Saints Day', 'The Blood Spoon Council', 'The Boondock Saints: Origins']", , ,https://www.imdb.com/name/nm0240627/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0240627/awards?ref_=nm_ql_2
175,Michael Spierig ,Michael Spierig,NA,NA,"['Predestination', 'Daybreakers', 'Undead', 'Winchester']",5,17,https://www.imdb.com/name/nm1294961/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1294961/awards?ref_=nm_ql_2
176,Lone Scherfig ,Lone Scherfig,5/2/1959,"Copenhagen, Denmark","['An Education', 'Wilbur Wants to Kill Himself', 'Italiensk for begyndere', 'The Kindness of Strangers']",30,26,https://www.imdb.com/name/nm0771054/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0771054/awards?ref_=nm_ql_2
177,Rob Marshall,Rob Marshall,10/17/1960,"Madison, Wisconsin, USA","['Chicago', 'Mary Poppins Returns', 'Into the Woods', 'Nine']",17,21,https://www.imdb.com/name/nm0551128/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0551128/awards?ref_=nm_ql_2
178,Nick Cassavetes ,Nick Cassavetes,5/21/1959,"New York City, New York, USA","['Face/Off', 'The Wraith', ""The Astronaut's Wife"", 'Alpha Dog']",5,8,https://www.imdb.com/name/nm0001024/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001024/awards?ref_=nm_ql_2
179,Andy Fickman ,Andy Fickman,NA,NA,"['Paul Blart: Mall Cop 2', 'Race to Witch Mountain', 'Anaconda', 'You Again']",1,2,https://www.imdb.com/name/nm0275698/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0275698/awards?ref_=nm_ql_2
180,Chris Columbus ,Chris Columbus,9/10/1958,"Spangler, Pennsylvania, USA","[""Harry Potter and the Sorcerer's Stone"", 'Harry Potter and the Chamber of Secrets', 'The Help', 'Rent']",6,21,https://www.imdb.com/name/nm0001060/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001060/awards?ref_=nm_ql_2
181,Patrick Lussier,Patrick Lussier,NA,NA,"['My Bloody Valentine', 'Terminator Genisys', 'Scream', 'Drive Angry']",1,3,https://www.imdb.com/name/nm0527261/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0527261/awards?ref_=nm_ql_2
182,Greg Mottola ,Greg Mottola,7/11/1964,"Dix Hills, Long Island, New York, USA","['Adventureland', 'Superbad', 'The Daytrippers', 'The Dangerous Book for Boys']",8,5,https://www.imdb.com/name/nm0609549/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0609549/awards?ref_=nm_ql_2
183,Nancy Meyers,Nancy Meyers,12/8/1949,"Pennsylvania, USA","[""It's Complicated"", ""Something's Gotta Give"", 'The Holiday', 'The Intern']",6,5,https://www.imdb.com/name/nm0583600/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0583600/awards?ref_=nm_ql_2
184,Jonathan Mostow ,Jonathan Mostow,11/28/1961,"Woodbridge, Connecticut, USA","['Terminator 3: Rise of the Machines', 'Breakdown', 'U-571', 'Surrogates']",1,2,https://www.imdb.com/name/nm0609236/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0609236/awards?ref_=nm_ql_2
