Movie_ID,Year,Rank,Title,Description,Duration,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
95,2008,95,Transporter 3,"    Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukrainian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",104,Action,6.1, ,145970, ,Olivier Megaton,Jason Statham
96,2008,96,Jolene,"    A teenage orphan spends ten years traveling cross-country experiencing life, love and heartbreak. Based on E.L. Doctorow's story, ""Jolene: A Life.""",121,Drama,6.5,51,3876,31.72,Dan Ireland,Jessica Chastain
97,2008,97,The Hottie & the Nottie,    A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.,91,Comedy,1.9,31,35073,0.03,Tom Putnam,Paris Hilton
98,2008,98,Passengers,    A grief counselor working with a group of plane-crash survivors finds herself at the root of a mystery when her clients begin to disappear.,93,Drama,5.9,7,31858,0.27,Rodrigo García,Anne Hathaway
99,2008,99,Inkheart,"    A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",106,Adventure,6.1,40,68387,17.3,Iain Softley,Brendan Fraser
100,2008,100,The Forbidden Kingdom,"    A discovery made by a kung fu obsessed American teen sends him on an adventure to China, where he joins up with a band of martial arts warriors in order to free the imprisoned Monkey King.",104,Action,6.6,57,96292,52.08,Rob Minkoff,Jackie Chan
101,2009,1,Inglourious Basterds,"    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153,Adventure,8.3,69,1102598,120.5,Quentin Tarantino,Brad Pitt
102,2009,2,Watchmen,"    In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",162,Action,7.6,56,450532,107.5,Zack Snyder,Jackie Earle Haley
103,2009,3,The Hangover,"    Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",100,Comedy,7.7,73,663698,277.3,Todd Phillips,Zach Galifianakis
104,2009,4,Avatar,    A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,162,Action,7.8,83,1031992,760.5,James Cameron,Sam Worthington
105,2009,5,Star Trek,    The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,127,Action,8,82,553808,257.7,J.J. Abrams,Chris Pine
106,2009,6,X-Men Origins: Wolverine,"    The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",107,Action,6.6,40,430914,179.8,Gavin Hood,Hugh Jackman
107,2009,7,Zombieland,"    A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",88,Adventure,7.6,73,452692,75.59,Ruben Fleischer,Jesse Eisenberg
108,2009,8,Harry Potter and the Half-Blood Prince,"    As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",153,Adventure,7.6,78,412209,301.9,David Yates,Daniel Radcliffe
109,2009,9,The Blind Side,"    The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",129,Biography,7.7,53,264306,255.9,John Lee Hancock,Quinton Aaron
110,2009,10,District 9,    An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,112,Action,7.9,81,599601,115.6,Neill Blomkamp,Sharlto Copley
111,2009,11,Angels & Demons,    Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,138,Mystery,6.7,48,250003,133.3,Ron Howard,Tom Hanks
112,2009,12,Up,"    Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",96,Animation,8.3,88,832447,293,Pete Docter,Edward Asner
113,2009,13,The Lovely Bones,    Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,135,Drama,6.7,42,144329,43.82,Peter Jackson,Rachel Weisz
114,2009,14,Enter the Void,"    A French drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.",161,Drama,7.3,69,59956,0.34,Gaspar Noé,Nathaniel Brown
115,2009,15,Sherlock Holmes,    Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,128,Action,7.6,57,543922,209,Guy Ritchie,Robert Downey Jr.
116,2009,16,Dogtooth,"    Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",97,Drama,7.3,73,67397,0.11,Yorgos Lanthimos,Christos Stergioglou
117,2009,17,Couples Retreat,"    A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",113,Comedy,5.5,23,93952,109.2,Peter Billingsley,Vince Vaughn
118,2009,18,Night at the Museum: Battle of the Smithsonian,"    Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",105,Adventure,6,42,158777,177.2,Shawn Levy,Ben Stiller
119,2009,19,The Road,"    In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",111,Adventure,7.3,64,205887,0.06,John Hillcoat,Viggo Mortensen
120,2009,20,He's Just Not That Into You,    This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,129,Comedy,6.4,47,148689,93.95,Ken Kwapis,Ginnifer Goodwin
121,2009,21,Coraline,"    An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",100,Animation,7.7,80,176863,75.29,Henry Selick,Dakota Fanning
122,2009,22,(500) Days of Summer,"    An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",95,Comedy,7.7,76,437039,32.39,Marc Webb,Zooey Deschanel
123,2009,23,2012,    A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,158,Action,5.8,49,324992,166.1,Roland Emmerich,John Cusack
124,2009,24,Friday the 13th,"    A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions.",97,Horror,5.6,34,88031,65,Marcus Nispel,Jared Padalecki
125,2009,25,Antichrist,"    A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage, but nature takes its course and things go from bad to worse.",108,Drama,6.6,49,105420,0.4,Lars von Trier,Willem Dafoe
126,2009,26,Law Abiding Citizen,    A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,109,Crime,7.4,34,250235,73.34,F. Gary Gray,Gerard Butler
127,2009,27,3 Idiots,"    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",170,Comedy,8.4,67,294198,6.53,Rajkumar Hirani,Aamir Khan
