,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
48,Paris Hilton,2/17/81,"New York City, New York, USA","['The Hottie & the Nottie', 'House of Wax', 'Repo! The Genetic Opera', 'Pledge This!']",6,14,https://www.imdb.com/name/nm0385296/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0385296/awards?ref_=nm_ql_2
49,Sean Faris,3/25/82,"Houston, Texas, USA","['Never Back Down', 'Sleepover', 'Yours, Mine & Ours', 'Pearl Harbor']",2,2,https://www.imdb.com/name/nm0267511/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0267511/awards?ref_=nm_ql_2
50,Jason Statham,7/26/67,"Shirebrook, Derbyshire, England, UK","['Crank', 'Furious 7', 'Spy', 'The Meg']",1,3,https://www.imdb.com/name/nm0005458/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005458/awards?ref_=nm_ql_2
51,Jim Carrey,1/17/62,"Newmarket, Ontario, Canada","['The Truman Show', 'Bruce Almighty', 'Ace Ventura: Pet Detective', 'Eternal Sunshine of the Spotless Mind']",48,95,https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000120/awards?ref_=nm_ql_2
52,John Travolta,2/18/54,"Englewood, New Jersey, USA","['Battlefield Earth', 'Hairspray', 'Face/Off', 'Get Shorty']",52,60,https://www.imdb.com/name/nm0000237/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000237/awards?ref_=nm_ql_2
53,Mike Vogel,7/17/79,"Abington, Pennsylvania, USA","['The Help', 'Cloverfield', ""She's Out of My League"", 'The Texas Chainsaw Massacre']",8,5,https://www.imdb.com/name/nm1036181/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1036181/awards?ref_=nm_ql_2
54,Katherine Heigl,11/24/78,"Washington, District of Columbia, USA","['One for the Money', 'Knocked Up', 'The Ugly Truth', ""Grey's Anatomy""]",9,30,https://www.imdb.com/name/nm0001337/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001337/awards?ref_=nm_ql_2
55,Kåre Hedebrant,6/28/95,"Stockholm, Sweden","['Let the Right One In', 'Amors baller', '_kta människor', 'Anno 1790']",1,4,https://www.imdb.com/name/nm2968765/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2968765/awards?ref_=nm_ql_2
56,Keanu Reeves,9/2/64,"Beirut, Lebanon","['The Matrix', 'Speed', 'Point Break', 'The Matrix Reloaded']",12,22,https://www.imdb.com/name/nm0000206/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000206/awards?ref_=nm_ql_2
57,Carmen Electra,4/20/72,"Sharonville, Ohio, USA","['Scary Movie 4', 'Meet the Spartans', 'Epic Movie', 'Scary Movie']",2,6,https://www.imdb.com/name/nm0001182/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001182/awards?ref_=nm_ql_2
58,Belén Fabra,11/3/77,"Tortosa, Tarragona, Catalonia, Spain","['Diary of a Nymphomaniac', 'Gran Reserva', 'El ministerio del tiempo', 'Imperium']",0,2,https://www.imdb.com/name/nm1564103/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1564103/awards?ref_=nm_ql_2
59,Sarah Jessica Parker,3/25/65,"Nelsonville, Ohio, USA","['Sex and the City', 'Sex and the City 2', 'Sex and the City', 'The Family Stone']",29,45,https://www.imdb.com/name/nm0000572/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000572/awards?ref_=nm_ql_2
60,Donnie Yen,7/27/63,"Canton, China","['Yip Man', 'Ip Man 2', 'Rogue One', 'Yip Man 3']",19,20,https://www.imdb.com/name/nm0947447/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0947447/awards?ref_=nm_ql_2
