	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
41	W.	(I) (2008)	129 min	"
Biography, Comedy, Drama            "	6.3	56	44159	$25.53M	Oliver Stone	/name/nm0000231/?ref_=adv_li_dr_0	Josh Brolin	/name/nm0000982/?ref_=adv_li_st_0	Elizabeth Banks	/name/nm0006969/?ref_=adv_li_st_1
42	Valkyrie	(2008)	121 min	"
Drama, History, Thriller            "	7.1	56	212460	$83.08M	Bryan Singer	/name/nm0001741/?ref_=adv_li_dr_0	Tom Cruise	/name/nm0000129/?ref_=adv_li_st_0	Bill Nighy	/name/nm0631490/?ref_=adv_li_st_1
43	The House Bunny	(2008)	97 min	"
Comedy, Romance            "	5.5	55	73018	$48.24M	Fred Wolf	/name/nm0937748/?ref_=adv_li_dr_0	Anna Faris	/name/nm0267506/?ref_=adv_li_st_0	Colin Hanks	/name/nm0004988/?ref_=adv_li_st_1
44	Doubt	(I) (2008)	104 min	"
Drama, Mystery            "	7.5	68	112993	$33.42M	John Patrick Shanley	/name/nm0788234/?ref_=adv_li_dr_0	Meryl Streep	/name/nm0000658/?ref_=adv_li_st_0	Philip Seymour Hoffman	/name/nm0000450/?ref_=adv_li_st_1
45	Jumper	(2008)	88 min	"
Action, Adventure, Sci-Fi            "	6.1	35	270398	$80.17M	Doug Liman	/name/nm0510731/?ref_=adv_li_dr_0	Hayden Christensen	/name/nm0159789/?ref_=adv_li_st_0	Samuel L. Jackson	/name/nm0000168/?ref_=adv_li_st_1
46	Get Smart	(2008)	110 min	"
Action, Adventure, Comedy            "	6.5	54	188937	$130.32M	Peter Segal	/name/nm0781842/?ref_=adv_li_dr_0	Steve Carell	/name/nm0136797/?ref_=adv_li_st_0	Anne Hathaway	/name/nm0004266/?ref_=adv_li_st_1
47	Bronson	(2008)	92 min	"
Action, Biography, Crime            "	7.1	71	108889	$0.10M	Nicolas Winding Refn	/name/nm0716347/?ref_=adv_li_dr_0	Tom Hardy	/name/nm0362766/?ref_=adv_li_st_0	Kelly Adams	/name/nm1433549/?ref_=adv_li_st_1
48	Synecdoche, New York	(2008)	124 min	"
Comedy, Drama            "	7.5	67	71260	$3.08M	Charlie Kaufman	/name/nm0442109/?ref_=adv_li_dr_0	Philip Seymour Hoffman	/name/nm0000450/?ref_=adv_li_st_0	Samantha Morton	/name/nm0608090/?ref_=adv_li_st_1
49	The Chronicles of Narnia: Prince Caspian	(2008)	150 min	"
Action, Adventure, Family            "	6.5	62	177722	$141.62M	Andrew Adamson	/name/nm0011470/?ref_=adv_li_dr_0	Ben Barnes	/name/nm1602660/?ref_=adv_li_st_0	Skandar Keynes	/name/nm1342727/?ref_=adv_li_st_1
50	21	(2008)	123 min	"
Crime, Drama, History            "	6.8	48	212450	$81.16M	Robert Luketic	/name/nm0525659/?ref_=adv_li_dr_0	Jim Sturgess	/name/nm0836343/?ref_=adv_li_st_0	Kate Bosworth	/name/nm0098378/?ref_=adv_li_st_1
51	Burn After Reading	(2008)	96 min	"
Comedy, Crime, Drama            "	7.0	63	285666	$60.36M	Ethan Coen	/name/nm0001053/?ref_=adv_li_dr_0	Brad Pitt	/name/nm0000093/?ref_=adv_li_st_0	Frances McDormand	/name/nm0000531/?ref_=adv_li_st_1
52	The Hottie & the Nottie	(2008)	91 min	"
Comedy, Romance            "	1.9	7	35106	$0.03M	Tom Putnam	/name/nm0701245/?ref_=adv_li_dr_0	Paris Hilton	/name/nm0385296/?ref_=adv_li_st_0	Joel David Moore	/name/nm0601376/?ref_=adv_li_st_1
53	Never Back Down	(2008)	110 min	"
Action, Drama, Sport            "	6.6	39	90324	$24.85M	Jeff Wadlow	/name/nm0905592/?ref_=adv_li_dr_0	Sean Faris	/name/nm0267511/?ref_=adv_li_st_0	Djimon Hounsou	/name/nm0005023/?ref_=adv_li_st_1
54	The Bank Job	(2008)	111 min	"
Crime, Thriller            "	7.2	69	165315	$30.03M	Roger Donaldson	/name/nm0002044/?ref_=adv_li_dr_0	Jason Statham	/name/nm0005458/?ref_=adv_li_st_0	Saffron Burrows	/name/nm0004787/?ref_=adv_li_st_1
55	Hancock	(2008)	92 min	"
Action, Drama, Fantasy            "	6.4	49	408185	$227.95M	Peter Berg	/name/nm0000916/?ref_=adv_li_dr_0	Will Smith	/name/nm0000226/?ref_=adv_li_st_0	Charlize Theron	/name/nm0000234/?ref_=adv_li_st_1
56	Yes Man	(2008)	104 min	"
Comedy, Romance            "	6.8	46	308829	$97.69M	Peyton Reed	/name/nm0715636/?ref_=adv_li_dr_0	Jim Carrey	/name/nm0000120/?ref_=adv_li_st_0	Zooey Deschanel	/name/nm0221046/?ref_=adv_li_st_1
57	Bolt	(2008)	96 min	"
Animation, Adventure, Comedy            "	6.9	67	172790	$114.05M	Byron Howard	/name/nm0397174/?ref_=adv_li_dr_0	John Travolta	/name/nm0000237/?ref_=adv_li_st_0	Miley Cyrus	/name/nm1415323/?ref_=adv_li_st_1
58	Cloverfield	(2008)	85 min	"
Action, Horror, Sci-Fi            "	7.0	64	348687	$80.05M	Matt Reeves	/name/nm0716257/?ref_=adv_li_dr_0	Mike Vogel	/name/nm1036181/?ref_=adv_li_st_0	Jessica Lucas	/name/nm1140300/?ref_=adv_li_st_1
59	27 Dresses	(2008)	111 min	"
Comedy, Romance            "	6.1	47	143719	$76.81M	Anne Fletcher	/name/nm0281945/?ref_=adv_li_dr_0	Katherine Heigl	/name/nm0001337/?ref_=adv_li_st_0	James Marsden	/name/nm0005188/?ref_=adv_li_st_1
60	You Don't Mess with the Zohan	(2008)	113 min	"
Comedy            "	5.5	54	176283	$100.02M	Dennis Dugan	/name/nm0240797/?ref_=adv_li_dr_0	Adam Sandler	/name/nm0001191/?ref_=adv_li_st_0	John Turturro	/name/nm0001806/?ref_=adv_li_st_1
61	Let the Right One In	(2008)	114 min	"
Drama, Horror, Romance            "	7.9	82	194014	$2.12M	Tomas Alfredson	/name/nm0019247/?ref_=adv_li_dr_0	Kåre Hedebrant	/name/nm2968765/?ref_=adv_li_st_0	Lina Leandersson	/name/nm2968351/?ref_=adv_li_st_1
62	The Day the Earth Stood Still	(2008)	104 min	"
Drama, Sci-Fi, Thriller            "	5.5	40	154780	$79.37M	Scott Derrickson	/name/nm0220600/?ref_=adv_li_dr_0	Keanu Reeves	/name/nm0000206/?ref_=adv_li_st_0	Jennifer Connelly	/name/nm0000124/?ref_=adv_li_st_1
63	Disaster Movie	(2008)	87 min	"
Comedy            "	1.9	15	82284	$14.19M	Jason Friedberg	/name/nm0294997/?ref_=adv_li_dr_0	Carmen Electra	/name/nm0001182/?ref_=adv_li_st_0	Vanessa Lachey	/name/nm0591373/?ref_=adv_li_st_1
64	Diary of a Nymphomaniac	(2008)	101 min	"
Drama, Romance            "	5.8	NA	9543	NA	Christian Molina	/name/nm0596668/?ref_=adv_li_dr_0	Belén Fabra	/name/nm1564103/?ref_=adv_li_st_0	Leonardo Sbaraglia	/name/nm0768614/?ref_=adv_li_st_1
65	Sex and the City	(2008)	145 min	"
Comedy, Drama, Romance            "	5.6	53	109657	$152.65M	Michael Patrick King	/name/nm0455078/?ref_=adv_li_dr_0	Sarah Jessica Parker	/name/nm0000572/?ref_=adv_li_st_0	Kim Cattrall	/name/nm0000326/?ref_=adv_li_st_1
66	Yip Man	(2008)	106 min	"
Action, Biography, Drama            "	8.0	59	194947	NA	Wilson Yip	/name/nm0948159/?ref_=adv_li_dr_0	Donnie Yen	/name/nm0947447/?ref_=adv_li_st_0	Simon Yam	/name/nm0945189/?ref_=adv_li_st_1
67	Eden Lake	(2008)	91 min	"
Horror, Thriller            "	6.8	65	69502	$0.01M	James Watkins	/name/nm1220140/?ref_=adv_li_dr_0	Kelly Reilly	/name/nm0717709/?ref_=adv_li_st_0	Michael Fassbender	/name/nm1055413/?ref_=adv_li_st_1
68	The Duchess	(2008)	110 min	"
Biography, Drama, History            "	6.9	62	72141	$13.82M	Saul Dibb	/name/nm1314116/?ref_=adv_li_dr_0	Keira Knightley	/name/nm0461136/?ref_=adv_li_st_0	Ralph Fiennes	/name/nm0000146/?ref_=adv_li_st_1
69	The Spirit	(2008)	103 min	"
Action, Adventure, Crime            "	4.8	30	57431	$19.78M	Frank Miller	/name/nm0588340/?ref_=adv_li_dr_0	Gabriel Macht	/name/nm0532683/?ref_=adv_li_st_0	Samuel L. Jackson	/name/nm0000168/?ref_=adv_li_st_1
70	Death Race	(2008)	105 min	"
Action, Sci-Fi, Thriller            "	6.4	43	186742	$36.32M	Paul W.S. Anderson	/name/nm0027271/?ref_=adv_li_dr_0	Jason Statham	/name/nm0005458/?ref_=adv_li_st_0	Joan Allen	/name/nm0000260/?ref_=adv_li_st_1
71	Definitely, Maybe	(2008)	112 min	"
Comedy, Drama, Romance            "	7.2	59	145060	$31.97M	Adam Brooks	/name/nm0111845/?ref_=adv_li_dr_0	Ryan Reynolds	/name/nm0005351/?ref_=adv_li_st_0	Rachel Weisz	/name/nm0001838/?ref_=adv_li_st_1
72	The Ruins	(2008)	90 min	"
Horror            "	5.9	44	65485	$17.43M	Carter Smith	/name/nm2127650/?ref_=adv_li_dr_0	Shawn Ashmore	/name/nm0039162/?ref_=adv_li_st_0	Jena Malone	/name/nm0540441/?ref_=adv_li_st_1
