	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
38	The A-Team	(2010)	117 min	"
Action, Adventure, Comedy            "	6.8	47	234139	$77.22M	Joe Carnahan	/name/nm0138620/?ref_=adv_li_dr_0	Liam Neeson	/name/nm0000553/?ref_=adv_li_st_0	Bradley Cooper	/name/nm0177896/?ref_=adv_li_st_1
39	Due Date	(2010)	95 min	"
Adventure, Comedy            "	6.5	51	301417	$100.54M	Todd Phillips	/name/nm0680846/?ref_=adv_li_dr_0	Robert Downey Jr.	/name/nm0000375/?ref_=adv_li_st_0	Zach Galifianakis	/name/nm0302108/?ref_=adv_li_st_1
40	The Twilight Saga: Eclipse	(2010)	124 min	"
Adventure, Drama, Fantasy            "	5.0	58	210058	$300.53M	David Slade	/name/nm1720541/?ref_=adv_li_dr_0	Kristen Stewart	/name/nm0829576/?ref_=adv_li_st_0	Robert Pattinson	/name/nm1500155/?ref_=adv_li_st_1
41	Robin Hood	(2010)	140 min	"
Action, Adventure, Drama            "	6.7	53	238149	$105.27M	Ridley Scott	/name/nm0000631/?ref_=adv_li_dr_0	Russell Crowe	/name/nm0000128/?ref_=adv_li_st_0	Cate Blanchett	/name/nm0000949/?ref_=adv_li_st_1
42	Predators	(2010)	107 min	"
Action, Adventure, Sci-Fi            "	6.4	51	198278	$52.00M	Nimród Antal	/name/nm0030735/?ref_=adv_li_dr_0	Adrien Brody	/name/nm0004778/?ref_=adv_li_st_0	Laurence Fishburne	/name/nm0000401/?ref_=adv_li_st_1
43	The Book of Eli	(2010)	118 min	"
Action, Adventure, Drama            "	6.9	53	269052	$94.84M	Albert Hughes	/name/nm0400436/?ref_=adv_li_dr_0	Denzel Washington	/name/nm0000243/?ref_=adv_li_st_0	Mila Kunis	/name/nm0005109/?ref_=adv_li_st_1
44	Hot Tub Time Machine	(2010)	101 min	"
Comedy, Sci-Fi            "	6.4	63	153194	$50.29M	Steve Pink	/name/nm0684336/?ref_=adv_li_dr_0	John Cusack	/name/nm0000131/?ref_=adv_li_st_0	Rob Corddry	/name/nm1117791/?ref_=adv_li_st_1
45	Salt	(2010)	100 min	"
Action, Mystery, Thriller            "	6.4	65	275764	$118.31M	Phillip Noyce	/name/nm0637518/?ref_=adv_li_dr_0	Angelina Jolie	/name/nm0001401/?ref_=adv_li_st_0	Liev Schreiber	/name/nm0000630/?ref_=adv_li_st_1
46	Buried	(2010)	95 min	"
Drama, Mystery, Thriller            "	7.0	65	138381	$1.03M	Rodrigo Cortés	/name/nm0181579/?ref_=adv_li_dr_0	Ryan Reynolds	/name/nm0005351/?ref_=adv_li_st_0	José Luis García Pérez	/name/nm0305825/?ref_=adv_li_st_1
47	I Spit on Your Grave	(2010)	108 min	"
Horror, Thriller            "	6.3	27	67833	$0.09M	Steven R. Monroe	/name/nm0003458/?ref_=adv_li_dr_0	Sarah Butler	/name/nm1713632/?ref_=adv_li_st_0	Jeff Branson	/name/nm0105226/?ref_=adv_li_st_1
48	A Nightmare on Elm Street	(2010)	95 min	"
Crime, Drama, Horror            "	5.2	35	84999	$63.08M	Samuel Bayer	/name/nm1207904/?ref_=adv_li_dr_0	Jackie Earle Haley	/name/nm0355097/?ref_=adv_li_st_0	Rooney Mara	/name/nm1913734/?ref_=adv_li_st_1
49	Leap Year	(2010)	100 min	"
Comedy, Romance            "	6.5	33	85367	$25.92M	Anand Tucker	/name/nm0875793/?ref_=adv_li_dr_0	Amy Adams	/name/nm0010736/?ref_=adv_li_st_0	Matthew Goode	/name/nm0328828/?ref_=adv_li_st_1
50	I'm Still Here	(I) (2010)	108 min	"
Comedy, Drama, Music            "	6.2	48	18447	$0.41M	Casey Affleck	/name/nm0000729/?ref_=adv_li_dr_0	Joaquin Phoenix	/name/nm0001618/?ref_=adv_li_st_0	Antony Langdon	/name/nm0486018/?ref_=adv_li_st_1
51	RED	(2010)	111 min	"
Action, Comedy, Crime            "	7.1	60	269946	$90.38M	Robert Schwentke	/name/nm0777881/?ref_=adv_li_dr_0	Bruce Willis	/name/nm0000246/?ref_=adv_li_st_0	Helen Mirren	/name/nm0000545/?ref_=adv_li_st_1
52	The Losers	(I) (2010)	97 min	"
Action, Adventure, Crime            "	6.4	44	83230	$23.58M	Sylvain White	/name/nm1234893/?ref_=adv_li_dr_0	Idris Elba	/name/nm0252961/?ref_=adv_li_st_0	Zoe Saldana	/name/nm0757855/?ref_=adv_li_st_1
53	Prince of Persia: The Sands of Time	(2010)	116 min	"
Action, Adventure, Fantasy            "	6.6	50	252823	$90.76M	Mike Newell	/name/nm0001565/?ref_=adv_li_dr_0	Jake Gyllenhaal	/name/nm0350453/?ref_=adv_li_st_0	Gemma Arterton	/name/nm2605345/?ref_=adv_li_st_1
54	The Karate Kid	(2010)	140 min	"
Action, Drama, Family            "	6.2	61	144969	$176.59M	Harald Zwart	/name/nm0958969/?ref_=adv_li_dr_0	Jackie Chan	/name/nm0000329/?ref_=adv_li_st_0	Jaden Smith	/name/nm1535523/?ref_=adv_li_st_1
55	Valentine's Day	(I) (2010)	125 min	"
Comedy, Romance            "	5.7	34	106619	$110.49M	Garry Marshall	/name/nm0005190/?ref_=adv_li_dr_0	Julia Roberts	/name/nm0000210/?ref_=adv_li_st_0	Jamie Foxx	/name/nm0004937/?ref_=adv_li_st_1
56	Nanny McPhee Returns	(2010)	109 min	"
Comedy, Family, Fantasy            "	6.1	52	24730	$29.20M	Susanna White	/name/nm1264352/?ref_=adv_li_dr_0	Emma Thompson	/name/nm0000668/?ref_=adv_li_st_0	Maggie Gyllenhaal	/name/nm0350454/?ref_=adv_li_st_1
57	Get Him to the Greek	(2010)	109 min	"
Adventure, Comedy, Music            "	6.4	65	160964	$60.97M	Nicholas Stoller	/name/nm0831557/?ref_=adv_li_dr_0	Jonah Hill	/name/nm1706767/?ref_=adv_li_st_0	Russell Brand	/name/nm1258970/?ref_=adv_li_st_1
58	Winter's Bone	(2010)	100 min	"
Drama, Mystery            "	7.2	90	127091	$6.53M	Debra Granik	/name/nm0335138/?ref_=adv_li_dr_0	Jennifer Lawrence	/name/nm2225369/?ref_=adv_li_st_0	John Hawkes	/name/nm0370035/?ref_=adv_li_st_1
59	Centurion	(2010)	97 min	"
Action, Adventure, Drama            "	6.4	62	73587	$0.12M	Neil Marshall	/name/nm0551076/?ref_=adv_li_dr_0	Michael Fassbender	/name/nm1055413/?ref_=adv_li_st_0	Dominic West	/name/nm0922035/?ref_=adv_li_st_1
60	Megamind	(2010)	95 min	"
Animation, Action, Comedy            "	7.3	63	205581	$148.42M	Tom McGrath	/name/nm0569891/?ref_=adv_li_dr_0	Will Ferrell	/name/nm0002071/?ref_=adv_li_st_0	Jonah Hill	/name/nm1706767/?ref_=adv_li_st_1
61	Flipped	(I) (2010)	90 min	"
Comedy, Drama, Romance            "	7.7	45	74317	$1.75M	Rob Reiner	/name/nm0001661/?ref_=adv_li_dr_0	Madeline Carroll	/name/nm1630992/?ref_=adv_li_st_0	Callan McAuliffe	/name/nm2786608/?ref_=adv_li_st_1
62	Eat Pray Love	(2010)	133 min	"
Drama, Romance            "	5.8	50	76819	$80.57M	Ryan Murphy	/name/nm0614682/?ref_=adv_li_dr_0	Julia Roberts	/name/nm0000210/?ref_=adv_li_st_0	Javier Bardem	/name/nm0000849/?ref_=adv_li_st_1
63	Machete	(2010)	105 min	"
Action, Crime, Thriller            "	6.6	60	181489	$26.59M	Ethan Maniquis	/name/nm0542450/?ref_=adv_li_dr_0	Danny Trejo	/name/nm0001803/?ref_=adv_li_st_0	Michelle Rodriguez	/name/nm0735442/?ref_=adv_li_st_1
64	Diary of a Wimpy Kid	(2010)	94 min	"
Comedy, Drama, Family            "	6.2	56	38230	$64.00M	Thor Freudenthal	/name/nm0294457/?ref_=adv_li_dr_0	Zachary Gordon	/name/nm2325393/?ref_=adv_li_st_0	Robert Capron	/name/nm2953573/?ref_=adv_li_st_1
65	Never Let Me Go	(2010)	103 min	"
Drama, Romance, Sci-Fi            "	7.2	69	129385	$2.43M	Mark Romanek	/name/nm0738796/?ref_=adv_li_dr_0	Keira Knightley	/name/nm0461136/?ref_=adv_li_st_0	Carey Mulligan	/name/nm1659547/?ref_=adv_li_st_1
66	Sex and the City 2	(2010)	146 min	"
Comedy, Drama, Romance            "	4.4	27	68645	$95.35M	Michael Patrick King	/name/nm0455078/?ref_=adv_li_dr_0	Sarah Jessica Parker	/name/nm0000572/?ref_=adv_li_st_0	Kim Cattrall	/name/nm0000326/?ref_=adv_li_st_1
67	The Reef	(2010)	94 min	"
Adventure, Drama, Horror            "	5.8	NA	14981	NA	Andrew Traucki	/name/nm0871188/?ref_=adv_li_dr_0	Damian Walshe-Howling	/name/nm0909935/?ref_=adv_li_st_0	Gyton Grantley	/name/nm1189489/?ref_=adv_li_st_1
68	The Sorcerer's Apprentice	(2010)	109 min	"
Action, Adventure, Family            "	6.1	46	142888	$63.15M	Jon Turteltaub	/name/nm0005509/?ref_=adv_li_dr_0	Nicolas Cage	/name/nm0000115/?ref_=adv_li_st_0	Jay Baruchel	/name/nm0059431/?ref_=adv_li_st_1
69	The American	(2010)	105 min	"
Crime, Drama, Thriller            "	6.3	61	86508	$35.61M	Anton Corbijn	/name/nm0179221/?ref_=adv_li_dr_0	George Clooney	/name/nm0000123/?ref_=adv_li_st_0	Paolo Bonacelli	/name/nm0093678/?ref_=adv_li_st_1
70	The Tourist	(2010)	103 min	"
Action, Adventure, Thriller            "	6.0	37	205313	$67.63M	Florian Henckel von Donnersmarck	/name/nm0003697/?ref_=adv_li_dr_0	Johnny Depp	/name/nm0000136/?ref_=adv_li_st_0	Angelina Jolie	/name/nm0001401/?ref_=adv_li_st_1
71	Ramona and Beezus	(2010)	103 min	"
Adventure, Comedy, Family            "	6.6	56	15961	$26.16M	Elizabeth Allen Rosenbaum	/name/nm0020491/?ref_=adv_li_dr_0	Joey King	/name/nm1428821/?ref_=adv_li_st_0	Selena Gomez	/name/nm1411125/?ref_=adv_li_st_1
72	Let Me In	(I) (2010)	116 min	"
Drama, Fantasy, Horror            "	7.1	79	106381	$12.13M	Matt Reeves	/name/nm0716257/?ref_=adv_li_dr_0	Kodi Smit-McPhee	/name/nm2240346/?ref_=adv_li_st_0	Chloë Grace Moretz	/name/nm1631269/?ref_=adv_li_st_1
73	Date Night	(2010)	88 min	"
Comedy, Crime, Romance            "	6.3	56	143830	$98.71M	Shawn Levy	/name/nm0506613/?ref_=adv_li_dr_0	Steve Carell	/name/nm0136797/?ref_=adv_li_st_0	Tina Fey	/name/nm0275486/?ref_=adv_li_st_1
74	Remember Me	(2010)	113 min	"
Drama, Romance            "	7.1	40	128555	$19.07M	Allen Coulter	/name/nm0002339/?ref_=adv_li_dr_0	Robert Pattinson	/name/nm1500155/?ref_=adv_li_st_0	Emilie de Ravin	/name/nm0211087/?ref_=adv_li_st_1
75	I Saw the Devil	(2010)	142 min	"
Action, Crime, Drama            "	7.8	67	92790	$0.13M	Jee-woon Kim	/name/nm0453518/?ref_=adv_li_dr_0	Byung-Hun Lee	/name/nm0496932/?ref_=adv_li_st_0	Min-sik Choi	/name/nm0158856/?ref_=adv_li_st_1
76	The Way Back	(I) (2010)	133 min	"
Adventure, Drama, History            "	7.3	66	101470	$2.70M	Peter Weir	/name/nm0001837/?ref_=adv_li_dr_0	Jim Sturgess	/name/nm0836343/?ref_=adv_li_st_0	Ed Harris	/name/nm0000438/?ref_=adv_li_st_1
77	The Next Three Days	(2010)	133 min	"
Action, Crime, Drama            "	7.4	52	166402	$21.15M	Paul Haggis	/name/nm0353673/?ref_=adv_li_dr_0	Russell Crowe	/name/nm0000128/?ref_=adv_li_st_0	Elizabeth Banks	/name/nm0006969/?ref_=adv_li_st_1
78	Dear John	(I) (2010)	108 min	"
Drama, Romance, War            "	6.3	43	127480	$80.01M	Lasse Hallström	/name/nm0002120/?ref_=adv_li_dr_0	Channing Tatum	/name/nm1475594/?ref_=adv_li_st_0	Amanda Seyfried	/name/nm1086543/?ref_=adv_li_st_1
79	The Chronicles of Narnia: The Voyage of the Dawn Treader	(2010)	113 min	"
Adventure, Family, Fantasy            "	6.3	53	128234	$104.39M	Michael Apted	/name/nm0000776/?ref_=adv_li_dr_0	Ben Barnes	/name/nm1602660/?ref_=adv_li_st_0	Skandar Keynes	/name/nm1342727/?ref_=adv_li_st_1
80	The Debt	(I) (2010)	113 min	"
Drama, Thriller            "	6.9	65	60763	$31.18M	John Madden	/name/nm0006960/?ref_=adv_li_dr_0	Helen Mirren	/name/nm0000545/?ref_=adv_li_st_0	Sam Worthington	/name/nm0941777/?ref_=adv_li_st_1
81	The Last Song	(2010)	107 min	"
Drama, Music, Romance            "	5.9	33	74019	$62.95M	Julie Anne Robinson	/name/nm1455688/?ref_=adv_li_dr_0	Miley Cyrus	/name/nm1415323/?ref_=adv_li_st_0	Liam Hemsworth	/name/nm2955013/?ref_=adv_li_st_1
82	When in Rome	(2010)	91 min	"
Comedy, Romance            "	5.6	25	57120	$32.67M	Mark Steven Johnson	/name/nm0425756/?ref_=adv_li_dr_0	Kristen Bell	/name/nm0068338/?ref_=adv_li_st_0	Josh Duhamel	/name/nm0241049/?ref_=adv_li_st_1
83	The Wolfman	(2010)	103 min	"
Drama, Fantasy, Horror            "	5.8	43	97327	$61.98M	Joe Johnston	/name/nm0002653/?ref_=adv_li_dr_0	Benicio Del Toro	/name/nm0001125/?ref_=adv_li_st_0	Anthony Hopkins	/name/nm0000164/?ref_=adv_li_st_1
84	It's Kind of a Funny Story	(2010)	101 min	"
Comedy, Drama, Romance            "	7.1	63	124992	$6.35M	Anna Boden	/name/nm1349818/?ref_=adv_li_dr_0	Keir Gilchrist	/name/nm1507857/?ref_=adv_li_st_0	Zach Galifianakis	/name/nm0302108/?ref_=adv_li_st_1
85	Caged Animal	(2010)	84 min	"
Action, Drama            "	4.7	NA	1486	NA	Ryan Combs	/name/nm1141083/?ref_=adv_li_dr_0	Ving Rhames	/name/nm0000609/?ref_=adv_li_st_0	Nipsey Hussle	/name/nm2596169/?ref_=adv_li_st_1
86	Shrek Forever After	(2010)	93 min	"
Animation, Adventure, Comedy            "	6.3	58	165611	$238.37M	Mike Mitchell	/name/nm0593610/?ref_=adv_li_dr_0	Mike Myers	/name/nm0000196/?ref_=adv_li_st_0	Cameron Diaz	/name/nm0000139/?ref_=adv_li_st_1
87	Life as We Know It	(2010)	114 min	"
Comedy, Drama, Romance            "	6.6	39	112187	$53.37M	Greg Berlanti	/name/nm0075528/?ref_=adv_li_dr_0	Katherine Heigl	/name/nm0001337/?ref_=adv_li_st_0	Josh Duhamel	/name/nm0241049/?ref_=adv_li_st_1
88	Takers	(2010)	107 min	"
Action, Crime, Thriller            "	6.2	45	53039	$57.74M	John Luessenhop	/name/nm0525141/?ref_=adv_li_dr_0	Chris Brown	/name/nm2093097/?ref_=adv_li_st_0	Hayden Christensen	/name/nm0159789/?ref_=adv_li_st_1
89	The Bounty Hunter	(I) (2010)	110 min	"
Action, Comedy, Romance            "	5.6	22	111647	$67.06M	Andy Tennant	/name/nm0855035/?ref_=adv_li_dr_0	Jennifer Aniston	/name/nm0000098/?ref_=adv_li_st_0	Gerard Butler	/name/nm0124930/?ref_=adv_li_st_1
90	The Way	(I) (2010)	123 min	"
Adventure, Comedy, Drama            "	7.4	64	27534	$4.43M	Emilio Estevez	/name/nm0000389/?ref_=adv_li_dr_0	Martin Sheen	/name/nm0000640/?ref_=adv_li_st_0	Emilio Estevez	/name/nm0000389/?ref_=adv_li_st_1
91	The Crazies	(2010)	101 min	"
Horror, Thriller            "	6.5	55	103826	$39.12M	Breck Eisner	/name/nm0252135/?ref_=adv_li_dr_0	Radha Mitchell	/name/nm0593664/?ref_=adv_li_st_0	Timothy Olyphant	/name/nm0648249/?ref_=adv_li_st_1
92	Super	(I) (2010)	96 min	"
Action, Comedy, Drama            "	6.8	50	70194	$0.32M	James Gunn	/name/nm0348181/?ref_=adv_li_dr_0	Rainn Wilson	/name/nm0933988/?ref_=adv_li_st_0	Ellen Page	/name/nm0680983/?ref_=adv_li_st_1
93	Resident Evil: Afterlife	(2010)	96 min	"
Action, Adventure, Horror            "	5.9	37	152259	$60.13M	Paul W.S. Anderson	/name/nm0027271/?ref_=adv_li_dr_0	Milla Jovovich	/name/nm0000170/?ref_=adv_li_st_0	Ali Larter	/name/nm0005123/?ref_=adv_li_st_1
94	Repo Men	(2010)	111 min	"
Action, Crime, Sci-Fi            "	6.3	32	95619	$13.79M	Miguel Sapochnik	/name/nm0764601/?ref_=adv_li_dr_0	Jude Law	/name/nm0000179/?ref_=adv_li_st_0	Forest Whitaker	/name/nm0001845/?ref_=adv_li_st_1
95	The Back-up Plan	(2010)	104 min	"
Comedy, Romance            "	5.4	34	45856	$37.49M	Alan Poul	/name/nm0693561/?ref_=adv_li_dr_0	Jennifer Lopez	/name/nm0000182/?ref_=adv_li_st_0	Alex O'Loughlin	/name/nm1533927/?ref_=adv_li_st_1
96	Death at a Funeral	(2010)	92 min	"
Comedy            "	5.7	51	41596	$42.74M	Neil LaBute	/name/nm0001438/?ref_=adv_li_dr_0	Chris Rock	/name/nm0001674/?ref_=adv_li_st_0	Martin Lawrence	/name/nm0001454/?ref_=adv_li_st_1
97	Faster	(2010)	98 min	"
Action, Crime, Drama            "	6.5	44	93058	$23.24M	George Tillman Jr.	/name/nm0863387/?ref_=adv_li_dr_0	Dwayne Johnson	/name/nm0425005/?ref_=adv_li_st_0	Billy Bob Thornton	/name/nm0000671/?ref_=adv_li_st_1
98	Trollhunter	(2010)	103 min	"
Drama, Fantasy, Horror            "	7.0	61	63077	$0.25M	André Øvredal	/name/nm0004217/?ref_=adv_li_dr_0	Otto Jespersen	/name/nm0422151/?ref_=adv_li_st_0	Robert Stoltenberg	/name/nm0293804/?ref_=adv_li_st_1
99	Knight and Day	(2010)	109 min	"
Action, Adventure, Comedy            "	6.3	46	168964	$76.42M	James Mangold	/name/nm0003506/?ref_=adv_li_dr_0	Tom Cruise	/name/nm0000129/?ref_=adv_li_st_0	Cameron Diaz	/name/nm0000139/?ref_=adv_li_st_1
	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
0	Hanna	(2011)	111 min	"
Action, Drama, Thriller            "	6.8	65	177603	$40.26M	Joe Wright	/name/nm0942504/?ref_=adv_li_dr_0	Saoirse Ronan	/name/nm1519680/?ref_=adv_li_st_0	Cate Blanchett	/name/nm0000949/?ref_=adv_li_st_1
1	Captain America: The First Avenger	(2011)	124 min	"
Action, Adventure, Sci-Fi            "	6.9	66	648873	$176.65M	Joe Johnston	/name/nm0002653/?ref_=adv_li_dr_0	Chris Evans	/name/nm0262635/?ref_=adv_li_st_0	Hugo Weaving	/name/nm0915989/?ref_=adv_li_st_1
2	Thor	(2011)	115 min	"
Action, Adventure, Fantasy            "	7.0	57	668167	$181.03M	Kenneth Branagh	/name/nm0000110/?ref_=adv_li_dr_0	Chris Hemsworth	/name/nm1165110/?ref_=adv_li_st_0	Anthony Hopkins	/name/nm0000164/?ref_=adv_li_st_1
3	The Help	(2011)	146 min	"
Drama            "	8.1	62	389274	$169.71M	Tate Taylor	/name/nm0853238/?ref_=adv_li_dr_0	Emma Stone	/name/nm1297015/?ref_=adv_li_st_0	Viola Davis	/name/nm0205626/?ref_=adv_li_st_1
4	Harry Potter and the Deathly Hallows: Part 2	(2011)	130 min	"
Adventure, Drama, Fantasy            "	8.1	87	684117	$381.01M	David Yates	/name/nm0946734/?ref_=adv_li_dr_0	Daniel Radcliffe	/name/nm0705356/?ref_=adv_li_st_0	Emma Watson	/name/nm0914612/?ref_=adv_li_st_1
5	Green Lantern	(2011)	114 min	"
Action, Adventure, Sci-Fi            "	5.5	39	250605	$116.60M	Martin Campbell	/name/nm0132709/?ref_=adv_li_dr_0	Ryan Reynolds	/name/nm0005351/?ref_=adv_li_st_0	Blake Lively	/name/nm0515116/?ref_=adv_li_st_1
6	X: First Class	(2011)	131 min	"
Action, Adventure, Sci-Fi            "	7.7	65	602735	$146.41M	Matthew Vaughn	/name/nm0891216/?ref_=adv_li_dr_0	James McAvoy	/name/nm0564215/?ref_=adv_li_st_0	Michael Fassbender	/name/nm1055413/?ref_=adv_li_st_1
7	The Girl with the Dragon Tattoo	(2011)	158 min	"
Crime, Drama, Mystery            "	7.8	71	385081	$102.52M	David Fincher	/name/nm0000399/?ref_=adv_li_dr_0	Daniel Craig	/name/nm0185819/?ref_=adv_li_st_0	Rooney Mara	/name/nm1913734/?ref_=adv_li_st_1
8	The Intouchables	(2011)	112 min	"
Biography, Comedy, Drama            "	8.5	57	665979	$13.18M	Olivier Nakache	/name/nm0619923/?ref_=adv_li_dr_0	François Cluzet	/name/nm0167388/?ref_=adv_li_st_0	Omar Sy	/name/nm1082477/?ref_=adv_li_st_1
9	Bridesmaids	(I) (2011)	125 min	"
Comedy, Romance            "	6.8	75	247959	$169.11M	Paul Feig	/name/nm0082450/?ref_=adv_li_dr_0	Kristen Wiig	/name/nm1325419/?ref_=adv_li_st_0	Maya Rudolph	/name/nm0748973/?ref_=adv_li_st_1
10	Drive	(I) (2011)	100 min	"
Crime, Drama            "	7.8	78	517383	$35.06M	Nicolas Winding Refn	/name/nm0716347/?ref_=adv_li_dr_0	Ryan Gosling	/name/nm0331516/?ref_=adv_li_st_0	Carey Mulligan	/name/nm1659547/?ref_=adv_li_st_1
11	Sucker Punch	(2011)	110 min	"
Action, Fantasy            "	6.1	33	217349	$36.39M	Zack Snyder	/name/nm0811583/?ref_=adv_li_dr_0	Emily Browning	/name/nm0115161/?ref_=adv_li_st_0	Vanessa Hudgens	/name/nm1227814/?ref_=adv_li_st_1
12	Crazy, Stupid, Love.	(2011)	118 min	"
Comedy, Drama, Romance            "	7.4	68	434251	$84.35M	Glenn Ficarra	/name/nm0275629/?ref_=adv_li_dr_0	Steve Carell	/name/nm0136797/?ref_=adv_li_st_0	Ryan Gosling	/name/nm0331516/?ref_=adv_li_st_1
13	Just Go with It	(2011)	117 min	"
Comedy, Romance            "	6.4	33	199355	$103.03M	Dennis Dugan	/name/nm0240797/?ref_=adv_li_dr_0	Adam Sandler	/name/nm0001191/?ref_=adv_li_st_0	Jennifer Aniston	/name/nm0000098/?ref_=adv_li_st_1
14	The Cabin in the Woods	(2011)	95 min	"
Comedy, Horror            "	7.0	72	335354	$42.07M	Drew Goddard	/name/nm1206844/?ref_=adv_li_dr_0	Kristen Connolly	/name/nm1393354/?ref_=adv_li_st_0	Chris Hemsworth	/name/nm1165110/?ref_=adv_li_st_1
15	Another Earth	(2011)	92 min	"
Drama, Romance, Sci-Fi            "	7.0	66	85273	$1.32M	Mike Cahill	/name/nm2648685/?ref_=adv_li_dr_0	Brit Marling	/name/nm1779870/?ref_=adv_li_st_0	William Mapother	/name/nm0544611/?ref_=adv_li_st_1
16	Mission: Impossible - Ghost Protocol	(2011)	132 min	"
Action, Adventure, Thriller            "	7.4	73	424930	$209.40M	Brad Bird	/name/nm0083348/?ref_=adv_li_dr_0	Tom Cruise	/name/nm0000129/?ref_=adv_li_st_0	Jeremy Renner	/name/nm0719637/?ref_=adv_li_st_1
17	Fast Five	(2011)	130 min	"
Action, Crime, Thriller            "	7.3	66	327624	$209.84M	Justin Lin	/name/nm0510912/?ref_=adv_li_dr_0	Vin Diesel	/name/nm0004874/?ref_=adv_li_st_0	Paul Walker	/name/nm0908094/?ref_=adv_li_st_1
18	Warrior	(2011)	140 min	"
Drama, Sport            "	8.2	71	400651	$13.66M	Gavin O'Connor	/name/nm0640334/?ref_=adv_li_dr_0	Tom Hardy	/name/nm0362766/?ref_=adv_li_st_0	Nick Nolte	/name/nm0000560/?ref_=adv_li_st_1
19	Sleeping Beauty	(2011)	101 min	"
Drama, Romance, Thriller            "	5.3	57	29143	$0.04M	Julia Leigh	/name/nm3772967/?ref_=adv_li_dr_0	Emily Browning	/name/nm0115161/?ref_=adv_li_st_0	Rachael Blake	/name/nm0086697/?ref_=adv_li_st_1
20	Sherlock Holmes: A Game of Shadows	(2011)	129 min	"
Action, Adventure, Crime            "	7.5	48	391040	$186.85M	Guy Ritchie	/name/nm0005363/?ref_=adv_li_dr_0	Robert Downey Jr.	/name/nm0000375/?ref_=adv_li_st_0	Jude Law	/name/nm0000179/?ref_=adv_li_st_1
21	Moneyball	(2011)	133 min	"
Biography, Drama, Sport            "	7.6	87	323812	$75.61M	Bennett Miller	/name/nm0587955/?ref_=adv_li_dr_0	Brad Pitt	/name/nm0000093/?ref_=adv_li_st_0	Robin Wright	/name/nm0000705/?ref_=adv_li_st_1
22	Hugo	(2011)	126 min	"
Adventure, Drama, Family            "	7.5	83	283229	$73.86M	Martin Scorsese	/name/nm0000217/?ref_=adv_li_dr_0	Asa Butterfield	/name/nm2633535/?ref_=adv_li_st_0	Chloë Grace Moretz	/name/nm1631269/?ref_=adv_li_st_1
23	In Time	(2011)	109 min	"
Action, Crime, Drama            "	6.7	53	343856	$37.52M	Andrew Niccol	/name/nm0629272/?ref_=adv_li_dr_0	Justin Timberlake	/name/nm0005493/?ref_=adv_li_st_0	Amanda Seyfried	/name/nm1086543/?ref_=adv_li_st_1
24	Shame	(2011)	101 min	"
Drama            "	7.2	72	170352	$4.00M	Steve McQueen	/name/nm2588606/?ref_=adv_li_dr_0	Michael Fassbender	/name/nm1055413/?ref_=adv_li_st_0	Carey Mulligan	/name/nm1659547/?ref_=adv_li_st_1
25	Conan the Barbarian	(2011)	113 min	"
Action, Adventure, Fantasy            "	5.2	36	90363	$21.30M	Marcus Nispel	/name/nm1197971/?ref_=adv_li_dr_0	Jason Momoa	/name/nm0597388/?ref_=adv_li_st_0	Ron Perlman	/name/nm0000579/?ref_=adv_li_st_1
26	Limitless	(I) (2011)	105 min	"
Mystery, Sci-Fi, Thriller            "	7.4	59	488533	$79.25M	Neil Burger	/name/nm1139726/?ref_=adv_li_dr_0	Bradley Cooper	/name/nm0177896/?ref_=adv_li_st_0	Anna Friel	/name/nm0295484/?ref_=adv_li_st_1
27	The Thing	(I) (2011)	103 min	"
Horror, Mystery, Sci-Fi            "	6.2	49	110977	$16.93M	Matthijs van Heijningen Jr.	/name/nm0374048/?ref_=adv_li_dr_0	Mary Elizabeth Winstead	/name/nm0935541/?ref_=adv_li_st_0	Joel Edgerton	/name/nm0249291/?ref_=adv_li_st_1
28	Midnight in Paris	(2011)	94 min	"
Comedy, Fantasy, Romance            "	7.7	81	353774	$56.82M	Woody Allen	/name/nm0000095/?ref_=adv_li_dr_0	Owen Wilson	/name/nm0005562/?ref_=adv_li_st_0	Rachel McAdams	/name/nm1046097/?ref_=adv_li_st_1
29	La piel que habito	(2011)	120 min	"
Drama, Horror, Thriller            "	7.6	70	122320	$3.19M	Pedro Almodóvar	/name/nm0000264/?ref_=adv_li_dr_0	Antonio Banderas	/name/nm0000104/?ref_=adv_li_st_0	Elena Anaya	/name/nm0025745/?ref_=adv_li_st_1
30	Pirates of the Caribbean: On Stranger Tides	(2011)	136 min	"
Action, Adventure, Fantasy            "	6.6	45	443688	$241.07M	Rob Marshall	/name/nm0551128/?ref_=adv_li_dr_0	Johnny Depp	/name/nm0000136/?ref_=adv_li_st_0	Penélope Cruz	/name/nm0004851/?ref_=adv_li_st_1
31	The Hangover Part II	(2011)	102 min	"
Comedy, Mystery            "	6.5	44	429732	$254.46M	Todd Phillips	/name/nm0680846/?ref_=adv_li_dr_0	Bradley Cooper	/name/nm0177896/?ref_=adv_li_st_0	Zach Galifianakis	/name/nm0302108/?ref_=adv_li_st_1
