	dr_name	dr_date	dr_place	dr_knownfor	dr_awards_wins	dr_awards_nominations	dr_link	dr_awards_link
287	" Greg Berlanti
"	1972-5-24	Rye, New York, USA	"['The Flash', 'Love, Simon', ""DC's Legends of Tomorrow"", 'Green Lantern']"	2	10	https://www.imdb.com/name/nm0075528/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0075528/awards?ref_=nm_ql_2
288	" John Luessenhop
"	NA	NA	['Takers', 'Texas Chainsaw 3D', 'Tick, Tick, Tick', 'Speed Kills']	1	1	https://www.imdb.com/name/nm0525141/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0525141/awards?ref_=nm_ql_2
289	" Andy Tennant
(I)
"	1955-6-15	Chicago, Illinois, USA	"[""Fool's Gold"", 'Hitch', 'Sweet Home Alabama', 'Ever After: A Cinderella Story']"	1	2	https://www.imdb.com/name/nm0855035/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0855035/awards?ref_=nm_ql_2
290	" Emilio Estevez
"	1962-5-12	New York City, New York, USA	['The Way', 'Bobby', 'The Public', 'The Breakfast Club']	4	11	https://www.imdb.com/name/nm0000389/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000389/awards?ref_=nm_ql_2
291	" Breck Eisner
"	1970-12-24	California, USA	['The Crazies', 'Sahara', 'The Last Witch Hunter', 'Tango & Cash']	0	1	https://www.imdb.com/name/nm0252135/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0252135/awards?ref_=nm_ql_2
292	" James Gunn
(II)
"	1966-8-5	St. Louis, Missouri, USA	['Guardians of the Galaxy', 'Movie 43', 'Guardians of the Galaxy Vol. 2', 'Super']	15	10	https://www.imdb.com/name/nm0348181/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0348181/awards?ref_=nm_ql_2
293	" Paul W.S. Anderson
"	1965-3-4	Newcastle-upon-Tyne, England, UK	['Resident Evil: Apocalypse', 'Event Horizon', 'Mortal Kombat', 'Death Race']	2	2	https://www.imdb.com/name/nm0027271/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0027271/awards?ref_=nm_ql_2
294	" Miguel Sapochnik
"	1974-7-0	NA	['Repo Men', 'Game of Thrones', 'Trainspotting', 'Altered Carbon']	2	4	https://www.imdb.com/name/nm0764601/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0764601/awards?ref_=nm_ql_2
295	" Alan Poul
"	NA	NA	['Six Feet Under', 'Black Rain', 'The Back-up Plan', 'Candyman']	2	13	https://www.imdb.com/name/nm0693561/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0693561/awards?ref_=nm_ql_2
296	" Neil LaBute
"	1963-3-19	Detroit, Michigan, USA	['In the Company of Men', 'The Wicker Man', 'Nurse Betty', 'Black Chicks']	14	17	https://www.imdb.com/name/nm0001438/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001438/awards?ref_=nm_ql_2
297	" George Tillman Jr.
"	1969-1-26	Milwaukee, Wisconsin, USA	['The Hate U Give', 'Faster', 'Notorious', 'Barbershop']	6	9	https://www.imdb.com/name/nm0863387/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0863387/awards?ref_=nm_ql_2
298	" André Øvredal
"	NA	NA	['Trollhunter', 'The Autopsy of Jane Doe', 'Tunnelen', 'Future Murder']	15	11	https://www.imdb.com/name/nm0004217/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0004217/awards?ref_=nm_ql_2
299	" James Mangold
"	1963-12-16	New York City, New York, USA	['Logan', 'Walk the Line', 'Heavy', 'The Wolverine']	8	20	https://www.imdb.com/name/nm0003506/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0003506/awards?ref_=nm_ql_2
300	" Joe Wright
(IV)
"	1972-8-25	London, England, UK	['Pride & Prejudice', 'Atonement', 'Darkest Hour', 'Hanna']	11	35	https://www.imdb.com/name/nm0942504/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0942504/awards?ref_=nm_ql_2
301	" Joe Johnston
(I)
"	1950-5-13	Austin, Texas, USA	['Captain America: The First Avenger', 'October Sky', 'The Rocketeer', 'Jurassic Park III']	2	6	https://www.imdb.com/name/nm0002653/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0002653/awards?ref_=nm_ql_2
302	" Kenneth Branagh
"	1960-12-10	Belfast, Northern Ireland, UK	['Henry V', 'Hamlet', 'Much Ado About Nothing', 'Murder on the Orient Express']	31	64	https://www.imdb.com/name/nm0000110/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000110/awards?ref_=nm_ql_2
303	" Tate Taylor
"	1969-6-3	Jackson, Mississippi, USA	"['The Help', ""Winter's Bone"", 'Pretty Ugly People', 'Chicken Party']"	13	18	https://www.imdb.com/name/nm0853238/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0853238/awards?ref_=nm_ql_2
304	" David Yates
(II)
"	1963-10-8	St. Helens, Merseyside, England, UK	['Harry Potter and the Deathly Hallows: Part 2', 'The Legend of Tarzan', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Deathly Hallows: Part 1']	15	20	https://www.imdb.com/name/nm0946734/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0946734/awards?ref_=nm_ql_2
305	" Martin Campbell
(I)
"	1943-10-24	Hastings, New Zealand	['Casino Royale', 'Vertical Limit', 'GoldenEye', 'The Mask of Zorro']	3	2	https://www.imdb.com/name/nm0132709/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0132709/awards?ref_=nm_ql_2
306	" Matthew Vaughn
(I)
"	1971-3-7	London, England, UK	['Kick-Ass', 'X: First Class', 'Kingsman: The Secret Service', 'Layer Cake']	5	18	https://www.imdb.com/name/nm0891216/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0891216/awards?ref_=nm_ql_2
307	" David Fincher
"	1962-8-28	Denver, Colorado, USA	['Se7en', 'Gone Girl', 'The Social Network', 'Zodiac']	65	112	https://www.imdb.com/name/nm0000399/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000399/awards?ref_=nm_ql_2
308	" Olivier Nakache
"	1973-4-15	Suresnes, Hauts-de-Seine, France	"['The Intouchables', ""C'est la vie!"", 'Tellement proches', 'Samba']"	17	27	https://www.imdb.com/name/nm0619923/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0619923/awards?ref_=nm_ql_2
309	" Paul Feig
"	1962-9-17	Mount Clemens, Michigan, USA	['Freaks and Geeks', 'The Heat', 'Spy', 'Ghostbusters']	8	11	https://www.imdb.com/name/nm0082450/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0082450/awards?ref_=nm_ql_2
310	" Nicolas Winding Refn
"	1970-9-29	Copenhagen, Denmark	['The Neon Demon', 'Valhalla Rising', 'Only God Forgives', 'Drive']	28	51	https://www.imdb.com/name/nm0716347/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0716347/awards?ref_=nm_ql_2
311	" Zack Snyder
"	1966-3-1	Green Bay, Wisconsin, USA	['300', 'Wonder Woman', 'Watchmen', 'Man of Steel']	4	13	https://www.imdb.com/name/nm0811583/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0811583/awards?ref_=nm_ql_2
312	" Glenn Ficarra
"	NA	NA	['I Love You Phillip Morris', 'Cats & Dogs', 'This Is Us', 'Focus']	2	11	https://www.imdb.com/name/nm0275629/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0275629/awards?ref_=nm_ql_2
313	" Dennis Dugan
(I)
"	1946-9-5	Wheaton, Illinois, USA	"['Happy Gilmore', ""You Don't Mess with the Zohan"", 'Big Daddy', 'Richie Brockelman, Private Eye']"	1	4	https://www.imdb.com/name/nm0240797/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0240797/awards?ref_=nm_ql_2
314	" Drew Goddard
"	1975-2-26	Los Alamos, New Mexico, USA	['The Martian', 'The Cabin in the Woods', 'Lost', 'Bad Times at the El Royale']	16	47	https://www.imdb.com/name/nm1206844/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1206844/awards?ref_=nm_ql_2
315	" Mike Cahill
(VI)
"	1979-7-5	New Haven, Connecticut, USA	['Another Earth', 'I Origins', 'Doctors', 'Sound of My Voice']	5	9	https://www.imdb.com/name/nm2648685/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm2648685/awards?ref_=nm_ql_2
316	" Brad Bird
(I)
"	1957-9-24	Kalispell, Montana, USA	['The Incredibles', 'Ratatouille', 'Incredibles 2', 'The Iron Giant']	32	40	https://www.imdb.com/name/nm0083348/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0083348/awards?ref_=nm_ql_2
317	" Justin Lin
(II)
"	1973-10-11	Taipei, Taiwan	['Furious 6', 'Better Luck Tomorrow', 'Star Trek Beyond', 'Fast Five']	3	6	https://www.imdb.com/name/nm0510912/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0510912/awards?ref_=nm_ql_2
318	" Gavin O'Connor
(I)
"	1963-12-24	Long Island, New York, USA	['The Accountant', 'Pride and Glory', 'Warrior', 'Tumbleweeds']	4	3	https://www.imdb.com/name/nm0640334/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0640334/awards?ref_=nm_ql_2
319	" Julia Leigh
(II)
"	NA	NA	['Sleeping Beauty', 'The Hunter', 'Disquiet', 'Festival international de Cannes']	4	22	https://www.imdb.com/name/nm3772967/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm3772967/awards?ref_=nm_ql_2
320	" Guy Ritchie
"	1968-9-10	Hatfield, Hertfordshire, England, UK	['Sherlock Holmes', 'Lock, Stock and Two Smoking Barrels', 'Snatch', 'The Man from U.N.C.L.E.']	8	10	https://www.imdb.com/name/nm0005363/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0005363/awards?ref_=nm_ql_2
321	" Bennett Miller
(I)
"	1966-12-30	New York City, New York, USA	['Foxcatcher', 'Capote', 'Moneyball', 'The Cruise']	16	24	https://www.imdb.com/name/nm0587955/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0587955/awards?ref_=nm_ql_2
322	" Martin Scorsese
"	1942-11-17	Queens, New York City, New York, USA	['Taxi Driver', 'Goodfellas', 'Mean Streets', 'Silence']	146	213	https://www.imdb.com/name/nm0000217/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000217/awards?ref_=nm_ql_2
323	" Andrew Niccol
"	1964-6-10	Paraparaumu, New Zealand	['Gattaca', 'The Truman Show', 'In Time', 'The Host']	11	13	https://www.imdb.com/name/nm0629272/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0629272/awards?ref_=nm_ql_2
324	" Steve McQueen
(III)
"	1969-10-9	London, England, UK	['12 Years a Slave', 'Shame', 'Hunger', 'Widows']	84	94	https://www.imdb.com/name/nm2588606/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm2588606/awards?ref_=nm_ql_2
325	" Marcus Nispel
"	1963-5-26	Frankfurt am Main, Hesse, Germany	['The Texas Chainsaw Massacre', 'Pathfinder', 'Friday the 13th', 'Conan the Barbarian']	0	4	https://www.imdb.com/name/nm1197971/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1197971/awards?ref_=nm_ql_2
326	" Neil Burger
(I)
"	1963-0-0	NA	['Divergent', 'The Illusionist', 'Interview with the Assassin', 'Limitless']	4	5	https://www.imdb.com/name/nm1139726/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1139726/awards?ref_=nm_ql_2
327	" Matthijs van Heijningen Jr.
"	NA	NA	['The Thing', 'Red Rain', 'Ciske the Rat', 'Amsterdamned']	0	2	https://www.imdb.com/name/nm0374048/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0374048/awards?ref_=nm_ql_2
328	" Woody Allen
"	1935-12-1	Brooklyn, New York City, New York, USA	['Manhattan', 'Annie Hall', 'Crimes and Misdemeanors', 'Hannah and Her Sisters']	139	211	https://www.imdb.com/name/nm0000095/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000095/awards?ref_=nm_ql_2
329	" Pedro Almodóvar
"	1949-9-25	Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain	['Talk to Her', 'Women on the Verge of a Nervous Breakdown', 'La piel que habito', 'Volver']	134	139	https://www.imdb.com/name/nm0000264/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000264/awards?ref_=nm_ql_2
330	" Rob Marshall
(I)
"	1960-10-17	Madison, Wisconsin, USA	['Chicago', 'Mary Poppins Returns', 'Into the Woods', 'Nine']	17	21	https://www.imdb.com/name/nm0551128/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0551128/awards?ref_=nm_ql_2
331	" Todd Phillips
(I)
"	1970-12-20	Brooklyn, New York City, New York, USA	['Due Date', 'Old School', 'The Hangover', 'The Hangover Part III']	4	8	https://www.imdb.com/name/nm0680846/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0680846/awards?ref_=nm_ql_2
332	" Ivan Reitman
"	1946-10-27	Komárno, Czechoslovakia [now Slovak Republic]	['Up in the Air', 'Ghostbusters', 'Heavy Metal', 'Six Days Seven Nights']	7	12	https://www.imdb.com/name/nm0718645/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0718645/awards?ref_=nm_ql_2
333	" Duncan Jones
(II)
"	1971-5-30	Bromley, Kent, England, UK	['Moon', 'Source Code', 'Warcraft', 'Mute']	14	13	https://www.imdb.com/name/nm1512910/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1512910/awards?ref_=nm_ql_2
334	" Tarsem Singh
"	1961-5-26	India	['The Fall', 'The Cell', 'Mirror Mirror', 'Self/less']	6	5	https://www.imdb.com/name/nm0802248/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0802248/awards?ref_=nm_ql_2
335	" Jonathan Liebesman
"	1976-9-15	Johannesburg, South Africa	['Teenage Mutant Ninja Turtles', 'Battle Los Angeles', 'Genesis and Catastrophe', 'Darkness Falls']	2	3	https://www.imdb.com/name/nm0509448/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0509448/awards?ref_=nm_ql_2
336	" Bill Condon
"	1955-10-22	New York City, New York, USA	['Kinsey', 'Dreamgirls', 'Gods and Monsters', 'Chicago']	19	43	https://www.imdb.com/name/nm0174374/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0174374/awards?ref_=nm_ql_2
337	" Will Gluck
"	NA	NA	['Easy A', 'Friends with Benefits', 'Peter Rabbit', 'Annie']	0	1	https://www.imdb.com/name/nm0323239/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0323239/awards?ref_=nm_ql_2
338	" Paul W.S. Anderson
"	1965-3-4	Newcastle-upon-Tyne, England, UK	['Resident Evil: Apocalypse', 'Event Horizon', 'Mortal Kombat', 'Death Race']	2	2	https://www.imdb.com/name/nm0027271/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0027271/awards?ref_=nm_ql_2
339	" Joe Carnahan
"	1969-5-9	Sacramento, California, USA	"['The A-Team', 'Narc', ""Smokin' Aces"", 'The Grey']"	4	3	https://www.imdb.com/name/nm0138620/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0138620/awards?ref_=nm_ql_2
340	" Michael Bay
(I)
"	1965-2-17	Los Angeles, California, USA	['Armageddon', 'Transformers: Revenge of the Fallen', 'Transformers: Age of Extinction', 'The Rock']	8	14	https://www.imdb.com/name/nm0000881/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000881/awards?ref_=nm_ql_2
341	" Lars von Trier
"	1956-4-30	Copenhagen, Denmark	['Dancer in the Dark', 'Melancholia', 'Dogville', 'Breaking the Waves']	100	100	https://www.imdb.com/name/nm0001885/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001885/awards?ref_=nm_ql_2
342	" Seth Gordon
(I)
"	NA	NA	['Pixels', 'The King of Kong: A Fistful of Quarters', 'Freakonomics', 'Identity Thief']	3	1	https://www.imdb.com/name/nm1164861/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1164861/awards?ref_=nm_ql_2
343	" J.J. Abrams
"	1966-6-27	New York City, New York, USA	['Lost', 'Star Trek', 'Star Wars: Episode VII - The Force Awakens', 'Super 8']	22	53	https://www.imdb.com/name/nm0009190/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0009190/awards?ref_=nm_ql_2
344	" Sean McNamara
(I)
"	1962-5-9	Burbank, California, USA	['Hoovey', 'Even Stevens', 'Spare Parts', 'Soul Surfer']	12	12	https://www.imdb.com/name/nm0573732/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0573732/awards?ref_=nm_ql_2
345	" David Dobkin
(I)
"	1969-6-23	Washington, District of Columbia, USA	['The Judge', 'R.I.P.D.', 'King Arthur: Legend of the Sword', 'Fred Claus']	1	1	https://www.imdb.com/name/nm0229694/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0229694/awards?ref_=nm_ql_2
346	" Steven Soderbergh
"	1963-1-14	Atlanta, Georgia, USA	['Sex, Lies, and Videotape', 'Traffic', 'Behind the Candelabra', 'Erin Brockovich']	30	81	https://www.imdb.com/name/nm0001752/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001752/awards?ref_=nm_ql_2
347	" Lynne Ramsay
"	1969-12-5	Glasgow, Strathclyde, Scotland, UK	['You Were Never Really Here', 'We Need to Talk About Kevin', 'Morvern Callar', 'Ratcatcher']	39	53	https://www.imdb.com/name/nm0708903/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0708903/awards?ref_=nm_ql_2
348	" D.J. Caruso
"	1965-1-17	Norwalk, Connecticut, USA	['I Am Number Four', 'Eagle Eye', 'xXx: Return of Xander Cage', 'The Salton Sea']	NA	NA	https://www.imdb.com/name/nm0142286/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0142286/awards?ref_=nm_ql_2
349	" Jake Kasdan
"	1974-10-28	Detroit, Michigan, USA	['Walk Hard: The Dewey Cox Story', 'Zero Effect', 'The TV Set', 'Sex Tape']	1	6	https://www.imdb.com/name/nm0440458/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0440458/awards?ref_=nm_ql_2
350	" Tomas Alfredson
"	1965-4-1	Lidingö, Stockholms län, Sweden	['Let the Right One In', 'Tinker Tailor Soldier Spy', 'Fyra nyanser av brunt', 'The Snowman']	39	29	https://www.imdb.com/name/nm0019247/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0019247/awards?ref_=nm_ql_2
351	" Lone Scherfig
"	1959-5-2	Copenhagen, Denmark	['An Education', 'Wilbur Wants to Kill Himself', 'Italiensk for begyndere', 'The Kindness of Strangers']	30	26	https://www.imdb.com/name/nm0771054/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0771054/awards?ref_=nm_ql_2
352	" Cary Joji Fukunaga
"	1977-7-10	Oakland, California, USA	['Beasts of No Nation', 'Sin Nombre', 'It', 'Maniac']	25	30	https://www.imdb.com/name/nm1560977/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1560977/awards?ref_=nm_ql_2
353	" Craig Brewer
(I)
"	1971-12-6	Virginia, USA	['Hustle & Flow', 'The Poor & Hungry', 'The Legend of Tarzan', 'Black Snake Moan']	7	4	https://www.imdb.com/name/nm0108132/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0108132/awards?ref_=nm_ql_2
354	" Gareth Evans
(VI)
"	NA	NA	['The Raid: Redemption', 'The Raid 2', 'Apostle', 'V/H/S/2']	9	10	https://www.imdb.com/name/nm2153088/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm2153088/awards?ref_=nm_ql_2
355	" Adam Wingard
"	1982-12-3	Oak Ridge, Tennessee, USA	"[""You're Next"", 'V/H/S', 'The Guest', 'Blair Witch']"	6	16	https://www.imdb.com/name/nm1417392/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1417392/awards?ref_=nm_ql_2
356	" Terrence Malick
"	1943-11-30	Ottawa, Illinois, USA	['Days of Heaven', 'The Tree of Life', 'The Thin Red Line', 'Badlands']	40	55	https://www.imdb.com/name/nm0000517/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000517/awards?ref_=nm_ql_2
357	" Steven Spielberg
"	1946-12-18	Cincinnati, Ohio, USA	"[""Schindler's List"", 'E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"	192	199	https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000229/awards?ref_=nm_ql_2
358	" Jesse Peretz
(I)
"	1968-0-0	NA	['Our Idiot Brother', 'The Château', 'Girls']	2	7	https://www.imdb.com/name/nm0673400/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0673400/awards?ref_=nm_ql_2
359	" Asghar Farhadi
"	1972-5-7	Khomeyni Shahr, Isfahan, Iran	['Darbareye Elly', 'Forushande', 'A Separation', 'Le passé']	86	75	https://www.imdb.com/name/nm1410815/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1410815/awards?ref_=nm_ql_2
360	" Bobby Farrelly
"	1958-6-17	Cumberland, Rhode Island, USA	"[""There's Something About Mary"", 'Osmosis Jones', 'Dumb and Dumber To', 'Me, Myself & Irene']"	3	4	https://www.imdb.com/name/nm0268370/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0268370/awards?ref_=nm_ql_2
361	" Jason Reitman
"	1977-10-19	Montreal, Quebec, Canada	['Up in the Air', 'Thank You for Smoking', 'Juno', 'Labor Day']	63	69	https://www.imdb.com/name/nm0718646/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0718646/awards?ref_=nm_ql_2
362	" Alexander Payne
(I)
"	1961-2-10	Omaha, Nebraska, USA	['Nebraska', 'The Descendants', 'Election', 'Sideways']	83	124	https://www.imdb.com/name/nm0668247/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0668247/awards?ref_=nm_ql_2
363	" Michel Gondry
"	1963-5-8	Versailles, Seine-et-Oise [now Yvelines], France	['Eternal Sunshine of the Spotless Mind', 'The Science of Sleep', 'The We and the I', 'Be Kind Rewind']	29	46	https://www.imdb.com/name/nm0327273/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0327273/awards?ref_=nm_ql_2
364	" John Singleton
(I)
"	1968-1-6	Los Angeles, California, USA	['Boyz n the Hood', 'Four Brothers', 'Shaft', 'Baby Boy']	13	25	https://www.imdb.com/name/nm0005436/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0005436/awards?ref_=nm_ql_2
365	" Oliver Parker
(I)
"	1960-9-6	London, England, UK	['An Ideal Husband', 'Dorian Gray', 'Hellraiser', 'Nightbreed']	0	2	https://www.imdb.com/name/nm0662529/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0662529/awards?ref_=nm_ql_2
366	" Wes Craven
(1939–2015)
"	1939-8-2	Cleveland, Ohio, USA	['A Nightmare on Elm Street', 'Scream', 'New Nightmare', 'The People Under the Stairs']	10	6	https://www.imdb.com/name/nm0000127/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000127/awards?ref_=nm_ql_2
367	" Tom Hanks
"	1956-7-9	Concord, California, USA	['Cast Away', 'Saving Private Ryan', 'Forrest Gump', 'Big']	84	151	https://www.imdb.com/name/nm0000158/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000158/awards?ref_=nm_ql_2
368	" Gore Verbinski
"	1964-3-16	Oak Ridge, Tennessee, USA	['Rango', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'A Cure for Wellness', 'The Lone Ranger']	9	12	https://www.imdb.com/name/nm0893659/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0893659/awards?ref_=nm_ql_2
369	" Rupert Wyatt
"	1972-10-26	England, UK	['Rise of the Planet of the Apes', 'Captive State', 'The Escapist', 'The Gambler']	2	7	https://www.imdb.com/name/nm1012501/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1012501/awards?ref_=nm_ql_2
370	" Steven Spielberg
"	1946-12-18	Cincinnati, Ohio, USA	"[""Schindler's List"", 'E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"	192	199	https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000229/awards?ref_=nm_ql_2
371	" Zal Batmanglij
"	NA	NA	['The OA', 'The East', 'Sound of My Voice']	2	5	https://www.imdb.com/name/nm2610231/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm2610231/awards?ref_=nm_ql_2
372	" Gonzalo López-Gallego
"	NA	NA	['El rey de la montaña', 'Nómadas', 'Apollo 18', 'Open Grave']	3	6	https://www.imdb.com/name/nm1018426/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1018426/awards?ref_=nm_ql_2
373	" Quentin Tarantino
"	1963-3-27	Knoxville, Tennessee, USA	['Reservoir Dogs', 'Pulp Fiction', 'The Hateful Eight', 'From Dusk Till Dawn']	139	177	https://www.imdb.com/name/nm0000233/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000233/awards?ref_=nm_ql_2
374	" Olivier Megaton
"	1965-8-6	Versailles, Seine-et-Oise [now Yvelines], France	['Transporter 3', 'Colombiana', 'Exit', 'Taken 2']	2	2	https://www.imdb.com/name/nm0576298/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0576298/awards?ref_=nm_ql_2
375	" Scott Stewart
(XX)
"	NA	NA	['Dark Skies', 'Dominion', 'Legion', 'Siren']	NA	NA	https://www.imdb.com/name/nm0829820/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0829820/awards?ref_=nm_ql_2
376	" Gary McKendry
"	NA	NA	['Everything in This Country Must', 'Killer Elite', 'Joseph and the Girl']	5	1	https://www.imdb.com/name/nm1834213/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1834213/awards?ref_=nm_ql_2
377	" Simon West
(I)
"	1961-0-0	NA	"['Lara Croft: Tomb Raider', ""The General's Daughter"", 'Wild Card', 'Stolen']"	2	0	https://www.imdb.com/name/nm0922346/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0922346/awards?ref_=nm_ql_2
378	" Shawn Levy
(I)
"	1968-7-23	Montreal, Quebec, Canada	['Arrival', 'The Spectacular Now', 'Stranger Things', 'The Famous Jett Jackson']	4	11	https://www.imdb.com/name/nm0506613/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0506613/awards?ref_=nm_ql_2
379	" Jon Favreau
(I)
"	1966-10-19	Queens, New York City, New York, USA	['Chef', 'Swingers', 'Iron Man', 'Couples Retreat']	6	11	https://www.imdb.com/name/nm0269463/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0269463/awards?ref_=nm_ql_2
380	" Carlos Saldanha
(I)
"	1965-1-24	Rio de Janeiro, Rio de Janeiro, Brazil	['Rio', 'Rio 2', 'Ice Age', 'Ice Age: The Meltdown']	2	15	https://www.imdb.com/name/nm0757858/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0757858/awards?ref_=nm_ql_2
381	" Brad Furman
"	NA	NA	['The Infiltrator', 'The Lincoln Lawyer', 'Runner Runner', 'The Mexican']	NA	NA	https://www.imdb.com/name/nm1026778/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1026778/awards?ref_=nm_ql_2
382	" David Gordon Green
"	1975-4-9	Little Rock, Arkansas, USA	['Halloween', 'Prince Avalanche', 'Joe', 'George Washington']	14	40	https://www.imdb.com/name/nm0337773/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0337773/awards?ref_=nm_ql_2
383	" George Nolfi
"	NA	NA	['The Adjustment Bureau', 'The Bourne Ultimatum', 'Spectral', 'The Sentinel']	0	3	https://www.imdb.com/name/nm1079776/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1079776/awards?ref_=nm_ql_2
