	dr_link	st1_link	st2_link
86	/name/nm0917992/?ref_=adv_li_dr_0	/name/nm0001131/?ref_=adv_li_st_0	/name/nm1157358/?ref_=adv_li_st_1
87	/name/nm0525303/?ref_=adv_li_dr_0	/name/nm0000173/?ref_=adv_li_st_0	/name/nm0413168/?ref_=adv_li_st_1
88	/name/nm0576298/?ref_=adv_li_dr_0	/name/nm0005458/?ref_=adv_li_st_0	/name/nm0460694/?ref_=adv_li_st_1
89	/name/nm0813164/?ref_=adv_li_dr_0	/name/nm0148418/?ref_=adv_li_st_0	/name/nm0993507/?ref_=adv_li_st_1
90	/name/nm0291205/?ref_=adv_li_dr_0	/name/nm0005562/?ref_=adv_li_st_0	/name/nm0000098/?ref_=adv_li_st_1
91	/name/nm0000816/?ref_=adv_li_dr_0	/name/nm0000134/?ref_=adv_li_st_0	/name/nm0000199/?ref_=adv_li_st_1
92	/name/nm0142286/?ref_=adv_li_dr_0	/name/nm0479471/?ref_=adv_li_st_0	/name/nm1157358/?ref_=adv_li_st_1
93	/name/nm0601680/?ref_=adv_li_dr_0	/name/nm0731075/?ref_=adv_li_st_0	/name/nm0001644/?ref_=adv_li_st_1
94	/name/nm0304541/?ref_=adv_li_dr_0	/name/nm0900915/?ref_=adv_li_st_0	/name/nm1035643/?ref_=adv_li_st_1
95	/name/nm1481493/?ref_=adv_li_dr_0	/name/nm1519680/?ref_=adv_li_st_0	/name/nm0429363/?ref_=adv_li_st_1
96	/name/nm0149446/?ref_=adv_li_dr_0	/name/nm2102872/?ref_=adv_li_st_0	/name/nm1093951/?ref_=adv_li_st_1
97	/name/nm0591450/?ref_=adv_li_dr_0	/name/nm0000329/?ref_=adv_li_st_0	/name/nm0001472/?ref_=adv_li_st_1
98	/name/nm0601382/?ref_=adv_li_dr_0	/name/nm0000242/?ref_=adv_li_st_0	/name/nm0005109/?ref_=adv_li_st_1
99	/name/nm0026442/?ref_=adv_li_dr_0	/name/nm0000437/?ref_=adv_li_st_0	/name/nm0607865/?ref_=adv_li_st_1
	dr_link	st1_link	st2_link
0	/name/nm0000233/?ref_=adv_li_dr_0	/name/nm0000093/?ref_=adv_li_st_0	/name/nm1208167/?ref_=adv_li_st_1
1	/name/nm0811583/?ref_=adv_li_dr_0	/name/nm0355097/?ref_=adv_li_st_0	/name/nm0933940/?ref_=adv_li_st_1
