	st_name	st_date	st_place	st_knownfor	st_awards_wins	st_awards_nominations	st_link	st_awards_link
1777	" Jessica Chastain
"	1977-3-24	Sacramento, California, USA	"['Zero Dark Thirty', 'The Tree of Life', 'Interstellar', ""Molly's Game""]"	79	112	https://www.imdb.com/name/nm1567113/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1567113/awards?ref_=nm_ql_2
1778	" Robert Duvall
"	1931-1-5	San Diego, California, USA	['The Apostle', 'Apocalypse Now', 'The Godfather', 'Open Range']	57	65	https://www.imdb.com/name/nm0000380/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000380/awards?ref_=nm_ql_2
1779	" Lucy Fry
(I)
"	1992-3-13	Wooloowin, Australia	['Bright', '11.22.63', 'Mr. Church', 'The Preppie Connection']	0	1	https://www.imdb.com/name/nm4867258/?ref_=adv_li_st_1	https://www.imdb.com/name/nm4867258/awards?ref_=nm_ql_2
1780	" Charlize Theron
"	1975-8-7	Benoni, Transvaal, South Africa	['Monster', 'Mad Max: Fury Road', 'Snow White and the Huntsman', 'Atomic Blonde']	60	109	https://www.imdb.com/name/nm0000234/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000234/awards?ref_=nm_ql_2
1781	" Lea Thompson
(I)
"	1961-5-31	Rochester, Minnesota, USA	['Back to the Future', 'Back to the Future Part II', 'Howard the Duck', 'Some Kind of Wonderful']	5	5	https://www.imdb.com/name/nm0000670/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000670/awards?ref_=nm_ql_2
1782	" Will Arnett
"	1970-5-4	Toronto, Ontario, Canada	['Arrested Development', 'The Lego Batman Movie', 'The Lego Movie', 'Teenage Mutant Ninja Turtles: Out of the Shadows']	10	29	https://www.imdb.com/name/nm0004715/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0004715/awards?ref_=nm_ql_2
1783	" Tina Fey
"	1970-5-18	Upper Darby, Pennsylvania, USA	['30 Rock', 'Date Night', 'Mean Girls', 'Sisters']	49	129	https://www.imdb.com/name/nm0275486/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0275486/awards?ref_=nm_ql_2
1784	" Ronald Zehrfeld
"	1977-1-15	East Berlin, German Democratic Republic	['Barbara', 'Der Staat gegen Fritz Bauer', 'Im Angesicht des Verbrechens', 'SS-GB']	6	7	https://www.imdb.com/name/nm1665537/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1665537/awards?ref_=nm_ql_2
1785	" Channing Tatum
"	1980-4-26	Cullman, Alabama, USA	['21 Jump Street', 'White House Down', '22 Jump Street', 'Foxcatcher']	21	57	https://www.imdb.com/name/nm1475594/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1475594/awards?ref_=nm_ql_2
1786	" Iain De Caestecker
"	1987-12-29	Glasgow, Scotland, UK	['Agents of S.H.I.E.L.D.', 'Overlord', 'Not Another Happy Ending', 'Lost River']	0	2	https://www.imdb.com/name/nm0207691/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0207691/awards?ref_=nm_ql_2
